r_kpc,rho_star_Msun_per_kpc3
8.447726131540268,26200287.248667136
8.62516764755944,24860178.509947993
8.806336260209934,23584589.376589533
8.991310255845532,22370621.765321366
9.18016956519735,21215497.81464473
9.372995797913381,20116555.334209263
9.569872277823583,19071243.409041766
9.77088407894565,18077118.153979223
9.976118062247096,17131838.613776933
10.185662913179502,16233162.804481003
10.399609180001164,15378943.891769398
10.618049312904697,14567126.502078379
10.841077703966496,13795743.162440933
11.068790727935317,13062910.865071855
11.30128678387762,12366827.752839088
11.53866633769763,11705769.921864025
11.781031965550573,11078088.33759394
12.028488398167722,10482205.860788412
12.281142566112528,9916614.379957268
12.539103645987323,9379872.046882043
12.802483107610547,8870600.61194459
13.07139476218499,8387482.8560759695
13.34595481147772,7929260.116227201
13.626281898033053,7494729.901348162
13.912497156440198,7082743.595945653
14.204724265677823,6692204.248372391
14.503089502558039,6322064.441079602
14.807721796292972,5971324.2401429955
15.11875278420751,5639029.221448682
15.436316868622226,5324268.57099961
15.760551274931187,5026173.256875859
16.091596110899584,4743914.270453035
16.429594427206936,4476700.9345521
16.77469227926198,4223779.276261515
17.12703879031591,3984430.462238456
17.486786215901397,3757969.2943602037
17.854090009624993,3543742.7636594335
18.229108890341593,3341128.660538378
18.61200491073982,3149534.239316416
19.002943527367982,2968394.93522402
19.402093672131034,2797173.1320123244
19.809627825289144,2635356.9784034793
20.225722089989706,2482459.251660298
20.650556268364742,2338016.266606703
21.08431393922685,2201586.8284813096
21.527182537397,2072751.2280567687
21.979353434698652,1951110.2775058416
22.441022022653115,1836284.3855426337
22.912387796911847,1727912.670413571
23.393654443462324,1625652.1093575195
23.885029926644535,1529176.723198383
24.386726579016287,1438176.7947758676
24.89896119310608,1352358.1199616855
25.421955115093194,1271441.2900488172
25.95593434045558,1195161.004340582
26.501129611626713,1123265.4118046183
27.0577765177037,1055515.4806938805
27.626115596249804,991684.395072937
28.206392437235138,931556.9772230405
28.798857789160813,874929.1349334626
29.40376766741198,821607.3327199551
30.021383464886934,771408.0860433071
30.651972064949796,724157.4776324464
31.295805956755938,679690.6950469103
31.95316335299957,637851.5886431758
32.62432831013469,598492.2491380286
33.30959085112123,561472.6039900666
34.009247090749305,526660.0318475552
34.723599363596115,493928.99433711014
35.45295635467029,463160.68449323624
36.19763323280048,434242.69115350704
36.95795178682576,407068.6786681748
37.73424056464651,381538.0812963253
38.52683501519627,357555.8116832635
39.33607763339541,335031.9828357465
40.16231810814966,313881.6430328768
41.00591347345715,294024.52313108766
41.86722826268962,275384.7957415463
42.74663466611405,257890.8457776477
43.64451269172305,241475.05188896557
44.5612503294435,226073.57831612288
45.49724371879414,211626.1767186092
46.45289732006502,198075.99754451093
47.42862408909232,185369.41052756843
48.424845655704296,173455.83391284614
49.441992505915465,162287.57202767435
50.48050416794758,151819.66082938298
51.54082940215824,142009.7210757152
52.623426394958386,132817.81877769507
53.728762956803344,124206.33260814787
54.85731672434267,116139.82795202924
56.00957536681552,108584.93729726668
57.18603679678211,101510.24667688055
58.387209385280705,94886.18788486446
59.61361218150439,88684.93619955101
60.86577513709214,82880.3133590835
62.14423933513051,77447.69554410932
63.44955722396618,72363.9261329263
64.78229285592887,67607.23300409137
66.14302213106907,63157.15017090108
67.53233304601548,58994.443541238776
68.95082594805886,55101.040605022084
70.39911379457399,51459.963859908195
71.87782241788942,48055.26779403607
73.38759079572169,44871.97925238876
74.92907132728972,41896.04102089166
76.50293011522832,39114.25846959927
78.1098472534239,36514.24910328764
79.75051712089588,34084.39487447744
81.42564868185053,31813.797120357893
83.13596579203815,29692.23399127458
84.88220751154427,27710.120244410835
86.66512842415153,25858.46928201068
88.4854989634098,24128.857318995615
90.34410574555429,22513.389570111125
92.24175190941791,21004.66835180976
94.17925746348203,19595.76299895147
96.15745964021771,18280.181501071515
98.17721325786985,17051.843767453604
100.23939108983956,15905.05643454596
102.34488424182663,14834.48913338071
104.49460253689234,13835.152138612075
106.68947490861137,12902.375324575554
108.93044980248169,12031.788357399777
111.21849558576491,11219.302055679002
113.55460096593684,10461.090855539902
115.93977541792569,9753.576319122836
118.37504962032548,9093.411628543137
120.86147590077192,8477.46701031277
123.40012869067206,7902.816037989471
125.99210498948727,7366.7227634820265
128.6385248387664,6866.629629986899
131.34053180613694,6400.146121959612
134.0992934794627,5965.038109845726
136.91600197137927,5559.217849510585
139.79187443442947,5180.734598418885
142.72815358701664,4827.7658126310125
145.72610825040712,4498.608890602678
148.78703389701212,4191.673431605336
151.91225321018473,3905.4739783280884
155.10311665577657,3638.6232148813147
158.3610030657,3389.8255930025007
161.68732023374608,3157.8713607676445
165.0835055239199,2941.630969540376
168.5510264915514,2740.0498362500975
172.09138151745407,2552.1434393804348
175.7061004554038,2376.992728275582
179.39674529321633,2213.7398265354786
183.1649108277127,2061.584011374633
187.01222535385972,1919.7779518668005
190.94035136838724,1787.6241899899487
194.95098628818468,1664.4718493266514
199.04586318378549,1549.71355716574
203.22675152826085,1442.7825665941164
207.49545796184077,1343.1500659657117
211.85382707259785,1250.3226638889014
216.303742193529,1163.8400385871669
220.8471262163774,1083.272741161829
225.48594242255186,1008.2201429220195
230.22219533149593,938.3085175482738
235.05793156687898,873.1892494228786
239.99524074098144,812.5371599950055
245.03625635765368,756.0489445528024
250.1831567342451,703.4417122495205
255.43816594289396,654.4516226783464
260.80355477159156,608.8326127116482
266.281641705433,566.355207716848
271.8747939284762,526.8054116339579
277.5854283466488,489.98367075030916
283.41601263213647,455.7039063376088
289.369066289711,423.7926116258755
295.4471617454568,394.08800887956664
301.65292545836206,366.4392626140753
307.98903905526345,340.70574524678767
314.45824048962515,316.7563517171652
321.0633252246609,294.46885983547645
327.8071474413069,273.72933333097774
334.69262127156486,254.43156476818447
341.7227220577545,236.4765556851744
348.9004876382151,219.77203148147277
356.22901966001064,204.23198874554342
363.711484919212,189.776272863982
371.3511167293265,176.3301838968474
379.1512163184746,163.82410883665662
387.1151542559132,152.19317849309337
395.2463719085194,141.37694736189076
403.5483829278728,131.31909494515926
412.0247747685672,121.96714709217366
420.6792102384184,113.27221602465453
429.5154290812332,105.18875779940468
438.53724959281993,97.67434604412091
447.74857027094924,90.68946087967345
457.1533714999647,84.19729201453666
466.75571727078307,78.16355506460846
476.5597569370222,72.55632021476727
486.5697270080114,67.34585239742023
496.7899529794702,62.50446221828113
507.2248512026326,58.00636691096611
517.8789307926372,53.82756064989549
528.7567955770015,49.94569359572582
539.8631460850185,46.33995908927434
551.2027815789478,42.990988448851716
562.7806021278631,39.88075286228681
574.6016107250654,36.99247189884903
586.670915449972,34.31052819794857
598.9937316754094,31.82038792104632
611.5753843212782,29.50852658078223
624.4213101555467,27.362359887077954
637.537060143582,25.37017927398496
650.9283018468284,23.521091793473435
664.600821871862,21.804964083281135
678.5605283708974,20.212370135467083
692.8134535948063,18.73454261054751
707.3657564997685,17.36332745909879
722.2237254086737,16.091141628595196
737.39378072842,14.910933648069948
752.8824777242943,13.816146897022291
768.6965093526272,12.800685377909284
784.84270915294,11.858881823616315
801.3280542008509,10.985467982552267
818.1596681229953,10.175546934523373
835.3448241752801,9.42456730034424
852.890948385797,8.728299217301615
870.805622763742,8.08281196113319
889.0965885757514,7.484453103161692
907.7717496910414,6.929829098675609
926.8391759968207,6.415787209600117
946.3071068854437,5.93939867099535
966.1839548147989,5.4979430169798835
986.4783089434977,5.088893487334841
1007.1989388424043,4.709903441327505
1028.3547982841342,4.358793710223318
1049.95502911215,4.033540824559288
1072.008965191117,3.7322660565489603
1094.5261364402493,3.4532252219999533
1117.5162729513577,3.194799189870299
1140.9893091934102,2.955485051084157
1164.955388305404,2.73388790149031
1189.4248664793988,2.5287131968916365
1214.4083174356304,2.3387596409152756
1239.9165369916052,2.1629125691460342
1265.9605477271796,2.000137795420135
