#Name                     Rin             Rout            nelec           neerr           Kitpl           Kflat           Kerr            Pitpl           Pflat           Perr            Mgrav           Merr            Tx              Txerr           Lambda          tcool5/2        t52err          tcool3/2        t32err         
###                       Mpc             Mpc             cm^-3           cm^-3           keV cm^2        keV cm^2        keV cm^2        dyne cm^-2      dyne cm^-2      dyne cm^-2      M_solar         M_solar         keV             keV             ergs-cm^3/s     Gyr             Gyr             Gyr             Gyr            
ABELL_1689                5.0425e-01      5.1953e-01      9.7013e-04      1.6712e-04      9.1310e+02      9.1310e+02      1.5985e+02      1.4063e-11      1.4063e-11      3.0531e-12      1.0515e+15      1.0189e+14      8.0039e+00      9.8491e-01      2.5202e-23      9.5569e+01      2.0232e+01      5.7341e+01      1.2139e+01     
ABELL_1689                4.8897e-01      5.0425e-01      1.1347e-03      1.5147e-04      8.4097e+02      8.4097e+02      1.3515e+02      1.6817e-11      1.6817e-11      3.1786e-12      -2.4298e+14     -2.3845e+13     8.2503e+00      1.0364e+00      2.5448e-23      8.3414e+01      1.5290e+01      5.0048e+01      9.1742e+00     
ABELL_1689                4.7369e-01      4.8897e-01      9.4893e-04      1.9022e-04      9.6816e+02      9.6816e+02      1.8421e+02      1.4372e-11      1.4372e-11      3.4769e-12      3.9368e+14      3.9099e+13      8.4968e+00      1.0880e+00      2.5693e-23      1.0174e+02      2.4200e+01      6.1043e+01      1.4520e+01     
ABELL_1689                4.5840e-01      4.7369e-01      1.3044e-03      1.5280e-04      7.9991e+02      7.9991e+02      1.2613e+02      2.0180e-11      2.0180e-11      3.6372e-12      3.7986e+14      3.8157e+13      8.7433e+00      1.1395e+00      2.5939e-23      7.5438e+01      1.3220e+01      4.5263e+01      7.9318e+00     
ABELL_1689                4.4312e-01      4.5840e-01      1.0716e-03      1.9735e-04      9.3107e+02      9.3107e+02      1.7230e+02      1.6926e-11      1.6926e-11      3.8998e-12      5.0147e+14      5.0919e+13      8.9899e+00      1.1911e+00      2.6185e-23      9.3531e+01      2.1219e+01      5.6119e+01      1.2732e+01     
ABELL_1689                4.2784e-01      4.4312e-01      1.4137e-03      1.6085e-04      7.7586e+02      7.7586e+02      1.2167e+02      2.2383e-11      2.2383e-11      3.9903e-12      1.7246e+14      1.7358e+13      9.2363e+00      1.2426e+00      2.6430e-23      7.2163e+01      1.2715e+01      4.3298e+01      7.6288e+00     
ABELL_1689                4.1256e-01      4.2784e-01      1.6824e-03      1.5009e-04      6.9252e+02      6.9252e+02      1.0283e+02      2.6699e-11      2.6699e-11      4.3437e-12      4.9951e+14      4.9835e+13      9.4828e+00      1.2941e+00      2.6676e-23      6.1685e+01      1.0057e+01      3.7011e+01      6.0344e+00     
ABELL_1689                3.9728e-01      4.1256e-01      1.5647e-03      1.7438e-04      7.2855e+02      7.2855e+02      1.1217e+02      2.4889e-11      2.4889e-11      4.3542e-12      2.8898e+14      2.8578e+13      9.7292e+00      1.3457e+00      2.6921e-23      6.7429e+01      1.1977e+01      4.0457e+01      7.1863e+00     
ABELL_1689                3.8200e-01      3.9728e-01      1.5790e-03      1.9139e-04      7.2584e+02      7.2584e+02      1.1337e+02      2.5175e-11      2.5175e-11      4.5425e-12      1.2294e+14      1.2050e+13      9.7734e+00      1.3412e+00      2.6954e-23      6.7039e+01      1.2275e+01      4.0224e+01      7.3649e+00     
ABELL_1689                3.6672e-01      3.8200e-01      1.9007e-03      1.7395e-04      6.4293e+02      6.4293e+02      9.3768e+01      3.0376e-11      3.0376e-11      4.8908e-12      1.4257e+14      1.3850e+13      9.7990e+00      1.3316e+00      2.6968e-23      5.5809e+01      9.1437e+00      3.3486e+01      5.4862e+00     
ABELL_1689                3.5144e-01      3.6672e-01      2.0379e-03      1.7892e-04      6.1517e+02      6.1517e+02      8.8428e+01      3.2644e-11      3.2644e-11      5.1559e-12      2.4193e+14      2.3293e+13      9.8246e+00      1.3220e+00      2.6982e-23      5.2161e+01      8.3809e+00      3.1297e+01      5.0286e+00     
ABELL_1689                3.3616e-01      3.5144e-01      2.0007e-03      1.9841e-04      6.2489e+02      6.2489e+02      9.1362e+01      3.2157e-11      3.2157e-11      5.2682e-12      2.1296e+14      2.0365e+13      9.8502e+00      1.3124e+00      2.6995e-23      5.3243e+01      8.8434e+00      3.1946e+01      5.3061e+00     
ABELL_1689                3.2088e-01      3.3616e-01      1.9026e-03      2.2253e-04      6.6187e+02      6.6187e+02      1.0321e+02      3.1322e-11      3.1322e-11      5.5956e-12      1.9159e+14      1.8972e+13      9.8758e+00      1.3029e+00      2.7009e-23      5.6106e+01      9.8921e+00      3.3664e+01      5.9352e+00     
ABELL_1689                3.0560e-01      3.2088e-01      2.3071e-03      2.0381e-04      5.9582e+02      5.9582e+02      9.0192e+01      3.8881e-11      3.8881e-11      6.4184e-12      2.4905e+14      2.5468e+13      9.9013e+00      1.2933e+00      2.7022e-23      4.6365e+01      7.3109e+00      2.7819e+01      4.3865e+00     
ABELL_1689                2.9032e-01      3.0560e-01      2.7996e-03      1.9210e-04      5.3583e+02      5.3583e+02      8.0788e+01      4.8273e-11      4.8273e-11      7.6856e-12      2.4990e+14      2.6328e+13      1.0109e+01      1.3547e+00      2.7374e-23      3.8507e+01      5.7976e+00      2.3104e+01      3.4786e+00     
ABELL_1689                2.7504e-01      2.9032e-01      2.9520e-03      2.0782e-04      5.2893e+02      5.2893e+02      8.1970e+01      5.2051e-11      5.2051e-11      8.5163e-12      2.4060e+14      2.6060e+13      1.0409e+01      1.4526e+00      2.7899e-23      3.6897e+01      5.7673e+00      2.2138e+01      3.4604e+00     
ABELL_1689                2.5976e-01      2.7504e-01      3.3015e-03      2.1190e-04      5.0175e+02      5.0175e+02      7.9013e+01      5.9502e-11      5.9502e-11      9.7929e-12      1.3922e+14      1.5472e+13      1.0709e+01      1.5505e+00      2.8424e-23      3.3316e+01      5.2763e+00      1.9989e+01      3.1658e+00     
ABELL_1689                2.4448e-01      2.5976e-01      3.1484e-03      2.4614e-04      5.1646e+02      5.1646e+02      8.2139e+01      5.6584e-11      5.6584e-11      9.5843e-12      1.4912e+14      1.6432e+13      1.1010e+01      1.6485e+00      2.8949e-23      3.5265e+01      5.9566e+00      2.1159e+01      3.5739e+00     
ABELL_1689                2.2920e-01      2.4448e-01      4.0250e-03      2.2072e-04      4.2352e+02      4.2352e+02      6.2169e+01      6.9875e-11      6.9875e-11      1.0647e-11      1.4083e+14      1.4682e+13      1.1193e+01      1.7045e+00      2.9244e-23      2.7761e+01      4.4933e+00      1.6656e+01      2.6960e+00     
ABELL_1689                2.1392e-01      2.2920e-01      3.9797e-03      2.5525e-04      4.1168e+02      4.1168e+02      5.7702e+01      6.6654e-11      6.6654e-11      9.8707e-12      1.6732e+14      1.6378e+13      1.0792e+01      1.5523e+00      2.8395e-23      2.7881e+01      4.3909e+00      1.6729e+01      2.6345e+00     
ABELL_1689                1.9864e-01      2.1392e-01      4.5300e-03      2.5835e-04      3.6411e+02      3.6411e+02      4.7350e+01      7.3154e-11      7.3154e-11      1.0009e-11      7.4560e+13      6.7996e+12      1.0391e+01      1.4000e+00      2.7545e-23      2.4312e+01      3.5570e+00      1.4587e+01      2.1342e+00     
ABELL_1689                1.8336e-01      1.9864e-01      5.3883e-03      2.5609e-04      3.2231e+02      3.2231e+02      4.1193e+01      8.6471e-11      8.6471e-11      1.1468e-11      1.1712e+14      1.0635e+13      9.9905e+00      1.2478e+00      2.6696e-23      2.0276e+01      2.7096e+00      1.2166e+01      1.6258e+00     
ABELL_1689                1.6808e-01      1.8336e-01      6.0500e-03      2.7891e-04      2.9648e+02      2.9648e+02      3.7665e+01      9.6480e-11      9.6480e-11      1.2697e-11      7.7918e+13      7.0436e+12      9.9040e+00      1.2261e+00      2.6514e-23      1.8025e+01      2.3811e+00      1.0815e+01      1.4287e+00     
ABELL_1689                1.5280e-01      1.6808e-01      5.6602e-03      3.4854e-04      3.0798e+02      3.0798e+02      3.9852e+01      8.9691e-11      8.9691e-11      1.2314e-11      6.7388e+13      6.0642e+12      9.8345e+00      1.2115e+00      2.6368e-23      1.9237e+01      2.6492e+00      1.1542e+01      1.5896e+00     
ABELL_1689                1.3752e-01      1.5280e-01      7.6372e-03      3.1270e-04      2.5280e+02      2.5280e+02      3.0396e+01      1.2130e-10      1.2130e-10      1.5047e-11      6.2224e+13      5.3431e+12      9.7852e+00      1.1887e+00      2.6285e-23      1.4230e+01      1.8243e+00      8.5383e+00      1.0946e+00     
ABELL_1689                1.2224e-01      1.3752e-01      7.3742e-03      3.8511e-04      2.5943e+02      2.5943e+02      3.0274e+01      1.1741e-10      1.1741e-10      1.4444e-11      7.5031e+13      6.1284e+12      9.8093e+00      1.1365e+00      2.6425e-23      1.4695e+01      1.8676e+00      8.8173e+00      1.1206e+00     
ABELL_1689                1.0696e-01      1.2224e-01      9.3845e-03      3.6425e-04      2.3299e+02      2.3299e+02      2.9062e+01      1.5759e-10      1.5759e-10      2.0179e-11      5.5464e+13      4.9630e+12      9.8334e+00      1.0843e+00      2.6566e-23      1.1514e+01      1.3460e+00      6.9087e+00      8.0761e-01     
ABELL_1689                9.1680e-02      1.0696e-01      1.1498e-02      3.9057e-04      2.2272e+02      2.2272e+02      3.2353e+01      2.1134e-10      2.1134e-10      3.1163e-11      6.2510e+13      6.5775e+12      1.0750e+01      1.4071e+00      2.7812e-23      9.8136e+00      1.3271e+00      5.8882e+00      7.9626e-01     
ABELL_1689                7.6400e-02      9.1680e-02      1.3671e-02      4.3506e-04      2.1559e+02      2.1559e+02      3.5125e+01      2.7299e-10      2.7299e-10      4.4946e-11      4.6211e+13      5.4742e+12      1.2002e+01      1.8712e+00      2.9474e-23      8.6958e+00      1.3836e+00      5.2175e+00      8.3018e-01     
ABELL_1689                6.1120e-02      7.6400e-02      1.8158e-02      4.5302e-04      1.4171e+02      1.4171e+02      1.8486e+01      2.8798e-10      2.8798e-10      3.7947e-11      2.5951e+13      2.4623e+12      1.0447e+01      1.4547e+00      2.7620e-23      6.0809e+00      8.6029e-01      3.6486e+00      5.1617e-01     
ABELL_1689                4.5840e-02      6.1120e-02      2.1289e-02      5.7366e-04      1.1361e+02      1.1361e+02      1.1669e+01      3.0098e-10      3.0098e-10      3.1498e-11      1.4958e+13      1.1092e+12      8.5831e+00      8.9410e-01      2.5469e-23      4.6211e+00      4.9722e-01      2.7727e+00      2.9833e-01     
ABELL_1689                3.0560e-02      4.5840e-02      2.5389e-02      7.6684e-04      1.0593e+02      1.0593e+02      1.0050e+01      3.7636e-10      3.7636e-10      3.6697e-11      7.6255e+12      5.1842e+11      8.8591e+00      8.7185e-01      2.6244e-23      3.8815e+00      3.9958e-01      2.3289e+00      2.3975e-01     
ABELL_1689                1.5280e-02      3.0560e-02      3.3500e-02      1.0742e-03      9.2133e+01      9.2133e+01      8.0784e+00      5.1959e-10      5.1959e-10      4.7221e-11      2.4239e+12      1.5115e+11      9.1350e+00      8.4960e-01      2.7019e-23      2.9463e+00      2.8985e-01      1.7678e+00      1.7391e-01     
ABELL_1689                0.0000e+00      1.5280e-02      3.9124e-02      2.8880e-03      8.6754e+01      8.6754e+01      8.0022e+00      6.3368e-10      6.3368e-10      6.8059e-11      1.2656e+12      7.2404e+10      9.4109e+00      8.2734e-01      2.7794e-23      2.5265e+00      2.9003e-01      1.5159e+00      1.7402e-01     
