Galaxy,Galaxy_Type,Radius_kpc,Boundary_kpc,In_Outer_Region,Observed_Speed_km_s,Baryonic_Speed_km_s,GR_Speed_km_s,GR_Percent_Off,G_Predicted,Predicted_Speed_km_s,Model_Percent_Off,Baryonic_Mass_Msun
UGC00731,,0.91,5.455,False,29.6,7.8608142071925355,7.8608142071925355,73.44319524597117,,,,
UGC00731,,1.81,5.455,False,44.6,12.710342245588826,12.710342245588826,71.50147478567527,,,,
UGC00731,,2.73,5.455,False,50.4,14.559330341743058,14.559330341743058,71.11243979812886,,,,
UGC00731,,3.64,5.455,False,56.8,19.560051124677564,19.560051124677564,65.563290273455,,,,
UGC00731,,4.55,5.455,False,60.7,21.655161047657902,21.655161047657902,64.32428163483048,,,,
UGC00731,,5.45,5.455,False,64.7,23.56630221311778,23.56630221311778,63.57603985607762,,,,
UGC00731,,6.36,5.455,True,68.0,27.495550549134308,27.495550549134308,59.56536683950837,,,,
UGC00731,,7.28,5.455,True,71.5,33.43879333947324,33.43879333947324,53.232456867869594,,,,
UGC00731,,8.19,5.455,True,73.4,36.71330685187593,36.71330685187593,49.981870774011,,,,
UGC00731,,9.09,5.455,True,74.0,37.45944473694185,37.45944473694185,49.37912873386237,,,,
UGC00731,,10.0,5.455,True,73.8,38.33339144923131,38.33339144923131,48.057735163643216,,,,
UGC00731,,10.91,5.455,True,73.9,37.98251439807533,37.98251439807533,48.60282219475598,,,,
UGC00891,,1.48,3.695,False,24.35,20.941910132554764,20.941910132554764,13.996262289302825,,,,
UGC00891,,2.97,3.695,False,43.55,26.903562961065212,26.903562961065212,38.22373602510858,,,,
UGC00891,,4.45,3.695,True,54.15,29.751100819969672,29.751100819969672,45.05798555868943,,,,
UGC00891,,5.94,3.695,True,60.15,28.408824333294753,28.408824333294753,52.77003435861221,,,,
UGC00891,,7.39,3.695,True,63.75,26.741004094835333,26.741004094835333,58.05332691006222,,,,
UGC01230,,0.78,18.27,False,19.8,21.27854318321628,21.27854318321628,7.467389814223624,,,,
UGC01230,,2.35,18.27,False,55.4,41.58850321903879,41.58850321903879,24.930499604623115,,,,
UGC01230,,3.91,18.27,False,88.5,47.59366029210193,47.59366029210193,46.22185277728595,,,,
UGC01230,,5.48,18.27,False,105.0,53.7404670616101,53.7404670616101,48.81860279846657,,,,
UGC01230,,7.03,18.27,False,106.0,56.808289888008424,56.808289888008424,46.40727369055809,,,,
UGC01230,,8.6,18.27,False,103.0,58.26804355733939,58.26804355733939,43.429083924913215,,,,
UGC01230,,13.27,18.27,False,109.0,60.23183377583651,60.23183377583651,44.74143690290228,,,,
UGC01230,,14.85,18.27,False,113.0,61.02819430394447,61.02819430394447,45.99274840358897,,,,
UGC01230,,25.8,18.27,True,105.0,60.28010119434108,60.28010119434108,42.59037981491326,,,,
UGC01230,,32.01,18.27,True,103.0,55.22953648185,55.22953648185,46.37909079432039,,,,
UGC01230,,36.54,18.27,True,103.0,50.42213898675858,50.42213898675858,51.04646700314701,,,,
UGC01281,,0.08,2.495,False,1.41,1.5,1.5,6.3829787234042605,,,,
UGC01281,,0.23,2.495,False,4.46,3.55,3.55,20.40358744394619,,,,
UGC01281,,0.38,2.495,False,7.71,5.31,5.31,31.128404669260703,,,,
UGC01281,,0.54,2.495,False,11.0,8.22,8.22,25.272727272727266,,,,
UGC01281,,0.69,2.495,False,14.2,10.22,10.22,28.0281690140845,,,,
UGC01281,,0.84,2.495,False,17.2,12.07,12.07,29.82558139534883,,,,
UGC01281,,1.0,2.495,False,20.2,13.91,13.91,31.138613861386133,,,,
UGC01281,,1.15,2.495,False,23.2,15.41,15.41,33.57758620689655,,,,
UGC01281,,1.3,2.495,False,26.4,16.74,16.74,36.59090909090909,,,,
UGC01281,,1.46,2.495,False,29.3,18.011343647823725,18.011343647823725,38.527837379441216,,,,
UGC01281,,1.61,2.495,False,31.6,19.54800501329995,19.54800501329995,38.139224641455854,,,,
UGC01281,,1.76,2.495,False,34.6,20.62334841872192,20.62334841872192,40.394946766699654,,,,
UGC01281,,1.92,2.495,False,37.4,21.837456353705665,21.837456353705665,41.61107926816667,,,,
UGC01281,,2.07,2.495,False,39.9,22.656195620624395,22.656195620624395,43.21755483552783,,,,
UGC01281,,2.22,2.495,False,42.2,23.547590110242705,23.547590110242705,44.20002343544383,,,,
UGC01281,,2.38,2.495,False,44.4,24.25746070799662,24.25746070799662,45.366079486494094,,,,
UGC01281,,2.53,2.495,True,46.7,24.82544662236714,24.82544662236714,46.84058539107679,,,,
UGC01281,,2.68,2.495,True,48.5,25.26107281965673,25.26107281965673,47.915313773903655,,,,
UGC01281,,2.76,2.495,True,49.3,25.400472436551254,25.400472436551254,48.47774353640719,,,,
UGC01281,,3.07,2.495,True,53.0,25.848359715850442,25.848359715850442,51.2295099700935,,,,
UGC01281,,3.46,2.495,True,54.1,26.58210676376122,26.58210676376122,50.864867349794416,,,,
UGC01281,,3.83,2.495,True,55.0,26.48306062372701,26.48306062372701,51.848980684132705,,,,
UGC01281,,4.23,2.495,True,55.7,25.987221859983418,25.987221859983418,53.34430545783947,,,,
UGC01281,,4.62,2.495,True,56.4,26.820986186193824,26.820986186193824,52.44505995355705,,,,
UGC01281,,4.99,2.495,True,56.9,27.403366581498705,27.403366581498705,51.83942604306027,,,,
UGC02023,,0.76,1.89,False,15.1,17.559581430091097,17.559581430091097,16.288618742325145,,,,
UGC02023,,1.51,1.89,False,28.0,31.989760861875787,31.989760861875787,14.24914593527067,,,,
UGC02023,,2.27,1.89,True,37.6,37.69615364994153,37.69615364994153,0.2557277923976793,,,,
UGC02023,,3.03,1.89,True,47.9,39.70952530564927,39.70952530564927,17.09911209676561,,,,
UGC02023,,3.78,1.89,True,58.8,41.41706049443876,41.41706049443876,29.562822288369457,,,,
UGC02259,,1.02,4.07,False,56.1,24.911421075482625,24.911421075482625,55.594614838711905,,,,
UGC02259,,2.04,4.07,False,71.1,36.93242477823518,36.93242477823518,48.05566135269313,,,,
UGC02259,,3.05,4.07,False,80.7,42.866110157092635,42.866110157092635,46.882143547592776,,,,
UGC02259,,4.07,4.07,True,82.8,46.31791230182984,46.31791230182984,44.06049238909439,,,,
UGC02259,,5.09,4.07,True,83.7,45.007470491019596,45.007470491019596,46.22763382195986,,,,
UGC02259,,6.11,4.07,True,86.0,45.20890288427712,45.20890288427712,47.431508274096366,,,,
UGC02259,,7.13,4.07,True,88.3,44.881070620028666,44.881070620028666,49.172060452968665,,,,
UGC02259,,8.14,4.07,True,90.0,42.25848198882681,42.25848198882681,53.04613112352577,,,,
UGC02455,,0.5,2.015,False,16.9,41.20354960437268,41.20354960437268,143.80798582469043,,,,
UGC02455,,1.0,2.015,False,23.9,64.87122628716062,64.87122628716062,171.4277250508813,,,,
UGC02455,,1.51,2.015,False,28.2,78.76471608531322,78.76471608531322,179.30750384862844,,,,
