#Name                     Rin             Rout            nelec           neerr           Kitpl           Kflat           Kerr            Pitpl           Pflat           Perr            Mgrav           Merr            Tx              Txerr           Lambda          tcool5/2        t52err          tcool3/2        t32err         
###                       Mpc             Mpc             cm^-3           cm^-3           keV cm^2        keV cm^2        keV cm^2        dyne cm^-2      dyne cm^-2      dyne cm^-2      M_solar         M_solar         keV             keV             ergs-cm^3/s     Gyr             Gyr             Gyr             Gyr            
ABELL_0426                7.5170e-02      7.6960e-02      1.1905e-02      1.3918e-04      1.0157e+02      1.0157e+02      1.3967e+00      1.0214e-10      1.0214e-10      1.6628e-12      1.1321e+13      9.4057e+10      5.3665e+00      6.0000e-02      2.0942e-23      6.2834e+00      1.0164e-01      3.7701e+00      6.0986e-02     
ABELL_0426                7.3380e-02      7.5170e-02      1.2256e-02      1.4108e-04      9.8206e+01      9.8206e+01      1.3572e+00      1.0365e-10      1.0365e-10      1.6860e-12      1.9882e+13      1.6757e+11      5.2744e+00      6.0000e-02      2.0838e-23      6.0291e+00      9.7571e-02      3.6175e+00      5.8543e-02     
ABELL_0426                7.1600e-02      7.3380e-02      1.2876e-02      1.3947e-04      9.3772e+01      9.3772e+01      1.2485e+00      1.0746e-10      1.0746e-10      1.6732e-12      2.1584e+13      1.7706e+11      5.1826e+00      6.0000e-02      2.0733e-23      5.6673e+00      8.9851e-02      3.4004e+00      5.3911e-02     
ABELL_0426                6.9810e-02      7.1600e-02      1.2677e-02      1.4676e-04      9.3620e+01      9.3620e+01      1.2060e+00      1.0453e-10      1.0453e-10      1.6208e-12      2.3334e+13      1.7649e+11      5.1284e+00      5.5704e-02      2.0717e-23      5.7006e+00      9.0493e-02      3.4204e+00      5.4296e-02     
ABELL_0426                6.8020e-02      6.9810e-02      1.3551e-02      1.4350e-04      8.8248e+01      8.8248e+01      1.0494e+00      1.1012e-10      1.1012e-10      1.5717e-12      2.3273e+13      1.6332e+11      5.0752e+00      5.1270e-02      2.0703e-23      5.2812e+00      7.7291e-02      3.1687e+00      4.6374e-02     
ABELL_0426                6.6230e-02      6.8020e-02      1.4435e-02      1.4331e-04      8.3161e+01      8.3161e+01      9.2532e-01      1.1529e-10      1.1529e-10      1.5406e-12      2.8427e+13      1.8645e+11      4.9904e+00      4.6836e-02      2.0529e-23      4.9163e+00      6.7168e-02      2.9498e+00      4.0301e-02     
ABELL_0426                6.4440e-02      6.6230e-02      1.5295e-02      1.4457e-04      7.8618e+01      7.8618e+01      8.1906e-01      1.2003e-10      1.2003e-10      1.5096e-12      2.3146e+13      1.4082e+11      4.8928e+00      4.2401e-02      2.0291e-23      4.6025e+00      5.9019e-02      2.7615e+00      3.5411e-02     
ABELL_0426                6.2650e-02      6.4440e-02      1.6325e-02      1.4036e-04      7.4530e+01      7.4530e+01      8.1780e-01      1.2684e-10      1.2684e-10      1.6118e-12      1.8738e+13      1.2857e+11      4.8158e+00      4.2687e-02      2.0151e-23      4.2737e+00      5.2777e-02      2.5642e+00      3.1666e-02     
ABELL_0426                6.0860e-02      6.2650e-02      1.7195e-02      1.4027e-04      7.1302e+01      7.1302e+01      8.4479e-01      1.3231e-10      1.3231e-10      1.7620e-12      1.7615e+13      1.3598e+11      4.7631e+00      4.8547e-02      2.0128e-23      4.0177e+00      5.2451e-02      2.4106e+00      3.1471e-02     
ABELL_0426                5.9070e-02      6.0860e-02      1.7663e-02      1.4830e-04      6.8323e+01      6.8323e+01      7.4253e-01      1.3259e-10      1.3259e-10      1.6628e-12      1.4341e+13      9.7971e+10      4.6777e+00      4.5745e-02      2.0051e-23      3.8558e+00      4.9698e-02      2.3135e+00      2.9819e-02     
ABELL_0426                5.7280e-02      5.9070e-02      1.8130e-02      1.5311e-04      6.5651e+01      6.5651e+01      7.1932e-01      1.3307e-10      1.3307e-10      1.6815e-12      1.2928e+13      8.9117e+10      4.5815e+00      4.0087e-02      1.9957e-23      3.6964e+00      4.4950e-02      2.2178e+00      2.6970e-02     
ABELL_0426                5.5490e-02      5.7280e-02      1.9268e-02      1.5555e-04      6.1766e+01      6.1766e+01      7.3870e-01      1.3856e-10      1.3856e-10      1.8551e-12      1.2029e+13      9.4215e+10      4.4741e+00      4.5571e-02      1.9929e-23      3.4016e+00      4.4210e-02      2.0410e+00      2.6526e-02     
ABELL_0426                5.3700e-02      5.5490e-02      2.0048e-02      1.5795e-04      5.8800e+01      5.8800e+01      7.0578e-01      1.4093e-10      1.4093e-10      1.8832e-12      1.2454e+13      9.8573e+10      4.3662e+00      4.8515e-02      1.9849e-23      3.2033e+00      4.3633e-02      1.9220e+00      2.6180e-02     
ABELL_0426                5.1910e-02      5.3700e-02      2.1058e-02      1.5975e-04      5.5471e+01      5.5471e+01      5.9486e-01      1.4430e-10      1.4430e-10      1.7494e-12      9.1578e+12      6.3505e+10      4.2569e+00      4.1679e-02      1.9579e-23      3.0141e+00      3.7333e-02      1.8085e+00      2.2400e-02     
ABELL_0426                5.0120e-02      5.1910e-02      2.1631e-02      1.6543e-04      5.2991e+01      5.2991e+01      5.0549e-01      1.4416e-10      1.4416e-10      1.6019e-12      7.2022e+12      4.2582e+10      4.1458e+00      3.5048e-02      1.9419e-23      2.8814e+00      3.2847e-02      1.7288e+00      1.9708e-02     
ABELL_0426                4.8330e-02      5.0120e-02      2.2777e-02      1.6643e-04      5.0274e+01      5.0274e+01      4.4651e-01      1.4906e-10      1.4906e-10      1.5530e-12      6.5501e+12      3.5672e+10      4.0509e+00      3.0000e-02      1.9307e-23      2.6892e+00      2.7977e-02      1.6135e+00      1.6786e-02     
ABELL_0426                4.6540e-02      4.8330e-02      2.3141e-02      1.7901e-04      4.9280e+01      4.9280e+01      4.4841e-01      1.5002e-10      1.5002e-10      1.6160e-12      6.0127e+12      3.3055e+10      4.0115e+00      3.0000e-02      1.9237e-23      2.6308e+00      2.8306e-02      1.5785e+00      1.6983e-02     
ABELL_0426                4.4750e-02      4.6540e-02      2.3457e-02      1.8762e-04      4.8258e+01      4.8258e+01      5.1441e-01      1.5027e-10      1.5027e-10      1.8354e-12      4.0808e+12      2.7622e+10      3.9594e+00      3.5801e-02      1.9244e-23      2.5606e+00      3.0912e-02      1.5364e+00      1.8547e-02     
ABELL_0426                4.2960e-02      4.4750e-02      2.4697e-02      1.8863e-04      4.5928e+01      4.5928e+01      4.7435e-01      1.5584e-10      1.5584e-10      1.8378e-12      4.1957e+12      2.7648e+10      3.9020e+00      3.5995e-02      1.9191e-23      2.4034e+00      2.8784e-02      1.4421e+00      1.7270e-02     
ABELL_0426                4.1170e-02      4.2960e-02      2.5331e-02      1.9325e-04      4.4793e+01      4.4793e+01      4.1579e-01      1.5854e-10      1.5854e-10      1.7259e-12      5.0875e+12      2.8970e+10      3.8618e+00      3.0000e-02      1.9114e-23      2.3284e+00      2.5352e-02      1.3971e+00      1.5211e-02     
ABELL_0426                3.9380e-02      4.1170e-02      2.5621e-02      2.0693e-04      4.4516e+01      4.4516e+01      4.2025e-01      1.6058e-10      1.6058e-10      1.7979e-12      2.6997e+12      1.5352e+10      3.8683e+00      3.0000e-02      1.9238e-23      2.2912e+00      2.5655e-02      1.3747e+00      1.5393e-02     
ABELL_0426                3.7590e-02      3.9380e-02      2.6421e-02      2.1607e-04      4.3327e+01      4.3327e+01      4.1252e-01      1.6451e-10      1.6451e-10      1.8598e-12      2.8613e+12      1.6378e+10      3.8467e+00      3.0000e-02      1.9227e-23      2.2106e+00      2.4981e-02      1.3263e+00      1.4989e-02     
ABELL_0426                3.5800e-02      3.7590e-02      2.8002e-02      2.1855e-04      4.1328e+01      4.1328e+01      3.8998e-01      1.7288e-10      1.7288e-10      1.9164e-12      3.0997e+12      1.7894e+10      3.8147e+00      3.0000e-02      1.9148e-23      2.0770e+00      2.3012e-02      1.2462e+00      1.3808e-02     
ABELL_0426                3.4010e-02      3.5800e-02      2.7276e-02      2.4901e-04      4.1606e+01      4.1606e+01      4.4660e-01      1.6658e-10      1.6658e-10      2.1171e-12      3.8869e+12      2.5203e+10      3.7778e+00      3.2024e-02      1.9047e-23      2.1229e+00      2.6447e-02      1.2737e+00      1.5868e-02     
ABELL_0426                3.2220e-02      3.4010e-02      2.8542e-02      2.5189e-04      3.9930e+01      3.9930e+01      4.8614e-01      1.7244e-10      1.7244e-10      2.3862e-12      2.7886e+12      2.1798e+10      3.7294e+00      3.9783e-02      1.8960e-23      2.0118e+00      2.7853e-02      1.2071e+00      1.6712e-02     
ABELL_0426                3.0430e-02      3.2220e-02      2.9542e-02      2.6100e-04      3.8685e+01      3.8685e+01      3.8790e-01      1.7693e-10      1.7693e-10      2.1224e-12      4.7549e+12      2.8296e+10      3.7059e+00      3.1969e-02      1.8918e-23      1.9359e+00      2.3904e-02      1.1615e+00      1.4342e-02     
ABELL_0426                2.8640e-02      3.0430e-02      3.2482e-02      2.5833e-04      3.5695e+01      3.5695e+01      3.5022e-01      1.9122e-10      1.9122e-10      2.1920e-12      4.2445e+12      2.5697e+10      3.6509e+00      3.0000e-02      1.8818e-23      1.7437e+00      1.9940e-02      1.0462e+00      1.1964e-02     
ABELL_0426                2.6850e-02      2.8640e-02      3.3135e-02      2.8103e-04      3.4558e+01      3.4558e+01      3.5035e-01      1.9138e-10      1.9138e-10      2.2864e-12      4.7430e+12      2.9269e+10      3.5798e+00      3.0000e-02      1.8701e-23      1.6865e+00      2.0109e-02      1.0119e+00      1.2065e-02     
ABELL_0426                2.5060e-02      2.6850e-02      3.7421e-02      2.6972e-04      3.1195e+01      3.1195e+01      3.0720e-01      2.1157e-10      2.1157e-10      2.3734e-12      3.7980e+12      2.3942e+10      3.4897e+00      2.9958e-02      1.8587e-23      1.4647e+00      1.6418e-02      8.7882e-01      9.8508e-03     
ABELL_0426                2.3270e-02      2.5060e-02      3.9213e-02      2.8870e-04      2.9713e+01      2.9713e+01      2.2649e-01      2.1786e-10      2.1786e-10      2.0462e-12      3.2476e+12      1.3888e+10      3.4429e+00      2.2145e-02      1.8412e-23      1.3921e+00      1.3610e-02      8.3527e-01      8.1660e-03     
ABELL_0426                2.1480e-02      2.3270e-02      4.4566e-02      2.8702e-04      2.7133e+01      2.7133e+01      1.9720e-01      2.4624e-10      2.4624e-10      2.1447e-12      2.2862e+12      9.8312e+09      3.4157e+00      2.0000e-02      1.8366e-23      1.2183e+00      1.0604e-02      7.3097e-01      6.3624e-03     
ABELL_0426                1.9690e-02      2.1480e-02      4.7741e-02      3.0630e-04      2.5858e+01      2.5858e+01      2.0683e-01      2.6319e-10      2.6319e-10      2.4527e-12      1.8343e+12      9.0917e+09      3.4017e+00      2.1655e-02      1.8361e-23      1.1329e+00      1.0239e-02      6.7972e-01      6.1434e-03     
ABELL_0426                1.7900e-02      1.9690e-02      4.7565e-02      3.5653e-04      2.5974e+01      2.5974e+01      2.6171e-01      2.6274e-10      2.6274e-10      3.0271e-12      1.0166e+12      6.5224e+09      3.4099e+00      2.9859e-02      1.8329e-23      1.1418e+00      1.3162e-02      6.8510e-01      7.8970e-03     
ABELL_0426                1.6110e-02      1.7900e-02      5.0707e-02      3.7790e-04      2.4380e+01      2.4380e+01      1.8970e-01      2.7436e-10      2.7436e-10      2.6230e-12      4.2212e+11      1.8536e+09      3.3536e+00      2.1937e-02      1.8274e-23      1.0566e+00      1.0477e-02      6.3393e-01      6.2862e-03     
ABELL_0426                1.4320e-02      1.6110e-02      5.1657e-02      4.2496e-04      2.3588e+01      2.3588e+01      1.9372e-01      2.7379e-10      2.7379e-10      2.8061e-12      4.8287e+10      2.1647e+08      3.2899e+00      2.0000e-02      1.8202e-23      1.0214e+00      1.0448e-02      6.1287e-01      6.2691e-03     
ABELL_0426                1.2530e-02      1.4320e-02      5.4032e-02      4.6907e-04      2.2599e+01      2.2599e+01      2.0947e-01      2.8271e-10      2.8271e-10      3.1959e-12      -4.7231e+11     -2.5077e+09     3.2353e+00      2.1577e-02      1.8191e-23      9.6093e-01      1.0520e-02      5.7656e-01      6.3118e-03     
ABELL_0426                1.0740e-02      1.2530e-02      5.2382e-02      5.4910e-04      2.2936e+01      2.2936e+01      2.6584e-01      2.7247e-10      2.7247e-10      3.8088e-12      -2.7837e+11     -1.8877e+09     3.2156e+00      2.8140e-02      1.8390e-23      9.7452e-01      1.3307e-02      5.8471e-01      7.9844e-03     
ABELL_0426                8.9500e-03      1.0740e-02      4.5787e-02      7.5617e-04      2.4929e+01      2.4929e+01      1.0333e+00      2.3666e-10      2.3666e-10      1.0233e-11      -3.6168e+11     -1.0599e+10     3.2038e+00      6.0940e-02      1.8398e-23      1.1103e+00      2.7968e-02      6.6616e-01      1.6781e-02     
ABELL_0426                7.1600e-03      8.9500e-03      3.9337e-02      1.0977e-03      2.7407e+01      2.7493e+01      1.6376e+00      2.0201e-10      2.0265e-10      1.2781e-11      -2.9400e+11     -1.2242e+10     3.1952e+00      1.0412e-01      1.8332e-23      1.2935e+00      5.5493e-02      7.7610e-01      3.3295e-02     
ABELL_0426                5.3700e-03      7.1600e-03      4.5186e-02      1.2642e-03      2.4826e+01      2.5066e+01      1.4925e+00      2.3055e-10      2.3278e-10      1.4670e-11      -1.0173e+11     -4.2637e+09     3.1865e+00      1.4730e-01      1.8265e-23      1.1271e+00      6.0900e-02      6.7627e-01      3.6540e-02     
ABELL_0426                3.5800e-03      5.3700e-03      4.3782e-02      1.8172e-03      2.5189e+01      2.5599e+01      1.6079e+00      2.2193e-10      2.2555e-10      1.5743e-11      1.7527e+10      7.3939e+08      3.1800e+00      1.8000e-01      1.8199e-23      1.1651e+00      8.1779e-02      6.9907e-01      4.9067e-02     
ABELL_0426                1.7900e-03      3.5800e-03      4.0269e-02      3.3162e-03      2.6459e+01      2.7067e+01      2.1113e+00      2.0279e-10      2.0745e-10      2.0415e-11      -3.3805e+10     -1.4355e+09     3.1800e+00      1.8000e-01      1.8132e-23      1.2714e+00      1.2705e-01      7.6285e-01      7.6231e-02     
ABELL_0426                0.0000e+00      1.7900e-03      3.8041e-02      1.3115e-02      2.7301e+01      2.8114e+01      6.4735e+00      1.9030e-10      1.9597e-10      6.6541e-11      -1.6791e+10     -7.1776e+08     3.1800e+00      1.8000e-01      1.8066e-23      1.3508e+00      4.7195e-01      8.1049e-01      2.8317e-01     
