R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean,gamma_bar,gamma_eff,alpha_bar_arcsec,alpha_eff_arcsec
234.12462721222428,79969714.79113457,80785032.2166024,0.030052610252135542,0.03035900645328938,0.04665074303060555,0.046966000686616945,0.016598132778470005,0.016606994233327566,2.474967093503717,2.4916924932276068
237.07273531618551,83439941.37723003,84264478.86383957,0.03135672103145881,0.03166658213060204,0.046256716216712145,0.04657179793815479,0.014899995185253333,0.014905215807552746,2.4849644160940403,2.501890971413671
240.05796613336207,79971929.48687547,80790086.04019207,0.030053442534557738,0.030360905679653008,0.0458722369595711,0.04618715982701519,0.015818794425013362,0.015826254147362183,2.4953404466731293,2.512471500678804
243.0807871146709,77683559.42573807,78497865.74270314,0.029193473310712988,0.029499489537399795,0.04547056116089052,0.045785281658685485,0.016277087850177535,0.01628579212128569,2.504636542988744,2.521972164970969
246.1416715971924,82914315.86785108,83742451.6669416,0.031159191021339315,0.03147040436592745,0.04509269676739561,0.04540726675656716,0.013933505746056292,0.01393686239063971,2.5150992024651377,2.5326447206000586
249.24109887828948,77888312.40941009,78706081.86398476,0.02927041946004375,0.029577737133473274,0.04472482465531873,0.0450392632362806,0.015454405195274985,0.015461526102807328,2.525992569705262,2.5437516000706033
252.37955429065937,75454818.50495464,76268199.33344385,0.028355912711425773,0.028661581139642494,0.04433147700225984,0.044645719071786535,0.015975564290834066,0.01598413793214404,2.535304544389646,2.553275958851402
255.5575292783311,73474395.64528711,74284365.53622895,0.027611670012906035,0.027916056611157834,0.04392736554869895,0.04424137976959861,0.016315695535792915,0.016325323158440777,2.5438271821870932,2.562011698848633
258.77552147361985,75962700.82447982,76780480.961412,0.028546774832698876,0.028854096520557208,0.043535730773411385,0.043849543534517775,0.01498895594071251,0.014995447013960567,2.5528940785559584,2.5712957620782446
262.03403477504895,73291056.42328487,74103628.33692867,0.02754277115291693,0.02784813559102139,0.043152774357190574,0.04346640234384211,0.015610003204273644,0.015618266752820718,2.5623012669380576,2.5809236938738715
265.3335794262562,71255186.28523418,72064030.45360248,0.026777691373120322,0.02708165492494957,0.04275743909364624,0.04307084541548924,0.015979747720525916,0.015989190490539668,2.5707963011683295,2.5896398949390442
268.67467209589034,74328123.56296453,75146721.00471348,0.027932500872917692,0.028240129703838615,0.04237683982562346,0.04269005833678275,0.014444338952705766,0.014449928632944135,2.579996157741406,2.5990655965822853
272.0578359585156,71204240.5019401,72016168.28194723,0.02675854595321573,0.027063668325968532,0.042005230891584124,0.04231828007770858,0.015246684938368393,0.01525461175174005,2.58957432363451,2.608873447034519
275.4836007765347,69088210.71528716,69896001.33943006,0.025963342186061115,0.026266909816083314,0.041618500896949344,0.04193133482782923,0.01565515871088823,0.015664425011745916,2.5980406894119747,2.6175693909254454
278.9525029831425,73519201.88581282,74341032.6678406,0.02762850819329594,0.027937352113147296,0.04125227077748501,0.041564941292998314,0.013623762584189066,0.013627589179851018,2.607605492677698,2.627369770820075
282.46508576632584,69215292.9348249,70026823.6899552,0.026011099670550323,0.026316072841396945,0.04089542888659108,0.04120795668837262,0.01488432921604076,0.014891883846975675,2.617600146294471,2.6376041624385014
286.0218991539195,66977869.670453325,67784701.89594746,0.02517027624747274,0.025473483711385397,0.04051708767463364,0.040829406796697845,0.015346811427160902,0.015355923085312449,2.6260396067700995,2.6462819892206464
289.62350009973414,65143589.32166022,65946741.81194286,0.024480953888884792,0.024782778508699144,0.04012919960991416,0.040441276329421585,0.015648245721029366,0.015658497820722442,2.633650008736323,2.654131375497849
293.2704525707686,67366176.36330359,68177717.88835305,0.025316201861050373,0.025621179079231463,0.039752819942732345,0.04006468247252067,0.014436618081681972,0.01444350339328921,2.6418004862386506,2.662525521192682
296.9633276355201,64930552.916387685,65736554.922975495,0.024400894830603877,0.02470379029834047,0.03938461824490154,0.03969628470790784,0.014983723414297663,0.014992494409567372,2.6502889514636765,2.67126176319213
300.702703553407,63051603.721198075,63853590.02105816,0.02369478592432506,0.023996172289903535,0.03900549561526815,0.03931692652555859,0.01531070969094309,0.015320754235655057,2.657828157558836,2.679049009375935
304.48916586531607,65760779.317686975,66573126.60591264,0.024712893823278122,0.025018173847174512,0.03863973252871608,0.03895096359469369,0.013926838705437958,0.013932789747519176,2.666058782750122,2.6875330596824902
308.32330748529284,62956271.390244246,63761621.977928534,0.02365896004456463,0.02396161070914706,0.03828240679145141,0.03859345807254311,0.01462344674688678,0.01463184736339605,2.674664754130453,2.6963968751748615
312.2057287933835,61011675.2324889,61812578.83004782,0.022928181016785724,0.023229160502955405,0.03791188207506126,0.03822270494232825,0.014983701058275532,0.014993544439372848,2.68213094893093,2.704120562379339
316.1370377296475,64780558.73059546,65595894.924172424,0.02434452703165057,0.024650930285857804,0.037559153697560306,0.03786980072014541,0.013214626665909737,0.013218870434287606,2.6906359607063157,2.712889871345099
320.1178498893536,61072292.128447816,61877254.754990764,0.02295096083979379,0.02325346570862086,0.037215207704862086,0.03752570135908847,0.014264246865068296,0.014272235650467608,2.6995669542835965,2.7220899619505605
324.14878861937444,59027487.89097972,59827417.76672357,0.022182523626393145,0.022483137188009025,0.036853092775056155,0.037163365456986695,0.01467056914866301,0.01468022826897767,2.7069616818703937,2.729752069261859
