gal_id,r_kpc,g_obs,g_bar,g_mod
ESO079-G014,1.78,1632.1404494382023,2191.4216853932585,3478.490563254407
ESO079-G014,2.69,1698.795539033457,2145.105167286246,3842.498114534058
ESO079-G014,3.36,1986.574404761905,2036.5346726190476,3902.19138018266
ESO079-G014,4.39,2369.9316628701595,1738.6562642369024,3650.7762572941824
ESO079-G014,5.65,2381.592920353982,1521.5261769911504,3315.280075277847
ESO079-G014,6.34,2748.2649842271294,1475.86190851735,3182.01466175874
ESO079-G014,6.89,2724.0928882438316,1487.253671988389,3123.3916576186816
ESO079-G014,8.34,2843.6450839328536,1588.679736211031,3055.3574407724996
ESO079-G014,10.04,2646.314741035857,1708.758097609562,3011.5296920264227
ESO079-G014,11.65,2480.68669527897,1608.9090643776822,2786.01040613346
ESO079-G014,13.36,2292.2904191616767,1421.9146781437125,2489.4403652890724
ESO079-G014,15.06,2080.2788844621514,1199.7846281540503,2176.851341893165
ESO079-G014,16.67,1900.6598680263946,1024.1471505698864,1928.6230001405434
ESO116-G012,0.25,1747.2399999999998,1201.3155999999997,1754.0251393183069
ESO116-G012,0.83,1927.710843373494,1472.5320481927713,2268.8198169326747
ESO116-G012,1.38,1921.9202898550727,1909.9968115942033,2984.560518169906
ESO116-G012,1.85,2492.1135135135137,2073.3475675675677,3396.9059662920213
ESO116-G012,2.68,2400.0149253731347,1423.9894402985076,3117.9059076325334
ESO116-G012,3.19,2175.2006269592475,1338.1414733542322,3173.0773535592925
ESO116-G012,3.68,2270.0978260869565,1263.819483695652,3167.152295889791
ESO116-G012,4.13,2519.128329297821,1185.4911622276027,3104.241015805539
ESO116-G012,5.23,2108.0305927342256,921.553977055449,2764.5819298813094
ESO116-G012,6.05,1963.801652892562,719.8357851239671,2463.2175902834006
ESO116-G012,6.81,1712.775330396476,576.176798825257,2222.374312029628
ESO116-G012,7.56,1571.5608465608466,504.8309656084657,2059.357494733836
ESO116-G012,8.32,1454.326923076923,452.38717548076926,1921.2148401354739
ESO116-G012,9.09,1355.4455445544554,403.5628712871287,1793.4620205774945
ESO116-G012,9.86,1272.210953346856,333.24373225152135,1651.7120895468672
ESO444-G084,0.26,1288.0384615384617,346.63153846153847,903.006731770386
ESO444-G084,0.77,1618.298701298701,457.3332467532466,1225.6445022677538
ESO444-G084,1.29,1771.1937984496121,373.6543410852713,1400.7031912833913
ESO444-G084,1.81,1540.2430939226517,303.1693370165746,1605.9286151950548
ESO444-G084,2.32,1450.0,238.96831896551728,1790.1644039539713
ESO444-G084,3.39,1174.5162241887906,118.52890855457227,1988.8039938663837
ESO444-G084,4.44,885.4256756756757,63.415180180180165,1973.2256591434084
ESO563-G021,0.45,793.7999999999998,9443.858,10073.526046975263
ESO563-G021,1.34,2536.4850746268653,10776.737985074627,11830.128582291163
ESO563-G021,2.23,2462.2466367713,8475.672825112106,9986.330909500999
