name,hubble_type,type_group,best_error,total_evaluations,eta,ring_amp,M_max,bulge_gate_power,lambda_hat,error_std,error_range,error_cv,eta_std,eta_range,ring_amp_std,ring_amp_range,M_max_std,M_max_range,bulge_gate_power_std,bulge_gate_power_range,lambda_hat_std,lambda_hat_range,cluster,pc1,pc2
NGC3521,Sbc,intermediate,24.625577926635742,6000,0.010000000515930028,6.580825914682857e-07,1.3685327524983493,33.447568713028545,6.859602998351065,0.0,0.0,0.0,2.1798687437995892e-09,4.756679061052038e-09,4.3949324868481164e-07,1.067483213795543e-06,0.2947695142714066,0.7106348516956593,7.976268295580249,18.78292328343361,6.174124725143795,13.193659397257882,2,-1.5670177286101188,0.9030501760342371
NGC3109,Sm,late,8.992546081542969,6000,1.9995794845204071,11.444905429832241,4.9999999653776905,36.60795698890615,7.241914106636109,0.21989529823604556,0.4782276153564453,0.024005732409789874,0.442337618824786,1.0769539977104938,2.0591108842913033,5.0172566957048925,4.0208373075264426e-05,9.242822517840921e-05,6.910957167019053,16.74498620496852,3.8635325704747214,8.676116906855249,3,0.29882370724748225,-2.6585655698198836
NGC3198,Sc,intermediate,11.826128005981445,6000,0.06268866482853769,4.944346304305732e-08,2.3537320034415625,50.308145187845476,18.35615000279367,0.015433217516877205,0.03278827667236328,0.0013038015994710505,0.0022819743328029714,0.00484334425605689,0.001977874734151225,0.004197754413850564,0.04038613727272873,0.08569311412395741,17.29323662958631,41.50638943357956,12.0743735886014,28.667036279609476,2,-1.2026709839947325,0.8240144049420074
NGC3877,Sc,intermediate,27.282901763916016,6000,0.010000021826938071,5.2392629919214636e-08,1.6725166869772525,39.695677308334815,22.739024526590008,0.0,0.0,0.0,6.114566823825911e-09,1.3133746472326902e-08,1.3850143358752203e-08,3.379930327441686e-08,0.40776382183707705,0.9930919997791525,17.887043521371922,38.3755712284519,1.0325690862822006,2.5232668289179863,2,-2.1795679695540313,0.625397065605192
NGC3726,Sc,intermediate,17.335527420043945,6000,0.029402070365420613,9.609121876916406e-09,1.2501683608285115,1.9988278155354162,22.566783862212535,0.48938537789262126,1.0381450653076172,0.027677699596576368,0.007007162970937271,0.014868699854106942,3.3042101829666793e-06,7.0194300329925004e-06,0.4207318550097383,0.9870524727340131,3.68307358566473,8.939398772285033,12.11553839868314,29.098406632293585,2,-0.6931893849863918,1.185122953130839
NGC3741,Im,late,15.08642292022705,6000,1.9397896865010684,1.7052929257172795,4.999999899596803,16.63772609014841,47.8885974305585,0.01562411605286032,0.037795066833496094,0.0010344641867699967,0.4843021460157342,1.159867638553989,1.1375180036848727,2.6026033856925164,1.4909971237285054e-05,3.551089272502139e-05,6.28167471113769,15.08611366003597,0.680431207078541,1.5570798118048756,3,-0.4009995612616626,-3.21666293630581
NGC3769,Sb,early,9.093713760375977,6000,0.11831863292049061,1.2792182120319297e-07,3.012598181764082,16.62299613123587,7.748805917960313,0.0003385378157453188,0.0007219314575195312,3.7225714714478786e-05,2.4629341381887847e-05,5.9759650333807146e-05,1.715452685030156e-05,3.730666300391112e-05,0.00014120673743821374,0.00030024026650066205,15.87678401272752,38.888226420213854,7.445361540486942,18.078628540802683,2,-1.4713364298026135,0.24871543710382288
NGC3893,Sc,intermediate,9.35173225402832,6000,0.06374006261016657,3.625129615849636e-07,0.7202635694333432,21.657792155797903,8.523690172477071,6.136662290020779,13.01786994934082,0.44822433397888484,0.33644975255832427,0.7137184928476192,2.012653042395041,4.269481925393228,0.10527133552099492,0.22624475938543354,6.905321704357614,16.629577275781866,11.45599267342244,27.99656036255053,4,4.037583476730481,1.1940377546353684
NGC3949,Sbc,intermediate,19.342864990234375,6000,0.010000050896709575,8.359776704961229e-08,1.9460718182964505,38.31353130210748,10.287028695079858,0.0,0.0,0.0,1.6075328093787407e-08,3.8331450300313485e-08,3.256811856433042e-06,7.370413948096468e-06,1.0450797219257195,2.348029972059496,10.68957638829533,25.432702750259978,2.3256056647386543,5.278717969316748,1,-2.0392090147207687,1.6106595759296793
NGC3953,Sbc,intermediate,10.447746276855469,6000,0.010000000197062679,2.317329844360182e-08,0.6358525688030443,32.032139916921764,12.110851763998232,0.0,0.0,0.0,1.3726820861713777e-10,3.30005004225975e-10,7.472560671568665e-07,1.8301392493033232e-06,0.4599293665594452,1.1258577369879428,20.192848158197386,49.36326413771964,2.8137413242967217,6.053974524383499,2,-1.8994231414587084,0.8993191557167265
NGC3917,Scd,late,6.761587142944336,6000,0.03805981018447573,2.5712606654175905,1.6565321472819,34.3687162928068,20.15484116450012,0.521350394007834,1.2770423889160156,0.07045070765050844,0.8214165778775478,1.755955984221261,3.921963387632158,9.301835756791169,0.5328233357110703,1.1302907673173097,10.469889839906912,23.81343471544826,12.43529356809463,29.008574595999924,0,3.0569257269637373,-0.2126513942457051
NGC3972,Sbc,intermediate,6.687363624572754,6000,0.20994855211553748,11.969827328198505,3.7803436957243104,25.723960566196002,5.000002822076064,0.18007535024264798,0.3987584114074707,0.026356435319795656,0.0751621280363888,0.16419632415680147,1.0847680929415568,2.533167487817874,1.4010670023857055,3.2803348143110345,15.407793572432563,34.015576525870244,7.9455308513614975,16.874111009437804,1,-1.0381720541851003,1.778047972237773
NGC3992,Sbc,intermediate,9.518623352050781,6000,1.9925207285865327,7.728375124782731,0.5296071675724436,30.97869209802957,18.848255282469076,0.0,0.0,0.0,0.8097774072354821,1.9825207284245063,1.1827936406265636,2.884420700399825,9.413027199983518e-09,2.193954196094694e-08,11.276932506776163,24.516533879779942,6.937566640315244,16.98788025948476,0,1.355822630585637,-2.4391924757643015
NGC4010,Sd,late,9.499314308166504,6000,0.18318822792201855,5.685047832185977e-07,0.5397235294729672,22.181063126478058,7.16263555262619,0.12371415020172306,0.2624387741088867,0.012787953794521403,0.017271664544377324,0.03663885179450821,2.2187413291640155e-07,5.253015737405782e-07,1.48576041137144,3.6329394829810884,8.21990928492743,20.115499940728704,2.2658056815025054,4.872667474327459,1,-1.8024136407506763,2.2049748529854645
NGC4051,Sbc,intermediate,21.05459976196289,6000,0.010000000002080305,5.225880653599939e-07,3.4794490500692143,2.8695853874473918,5.186481378479707,0.0,0.0,0.0,4.40171535499131e-09,1.0259445345356388e-08,2.1414389532681771e-07,5.130246173099647e-07,1.402962825689969,2.977468362667945,11.744116625877655,27.285612501026197,17.800835539663726,38.985427909787816,1,-0.9468068863653483,3.4745847223025486
NGC4013,Sb,early,8.555434226989746,6000,0.03918850979424332,0.0015165175409720985,4.914186402978453,58.513127242264076,14.669947384640686,4.49566384116203e-07,9.5367431640625e-07,5.254746345820432e-08,1.3189873781022837e-07,2.80000529304103e-07,0.0007062327605448563,0.0015151413572936537,1.236496491402417,2.780979814866281,10.829319914547682,22.977443322559502,14.48093005928897,34.97470225980735,1,-1.276035762228186,2.6154933528505473
NGC4085,Sc,intermediate,39.21160888671875,6000,0.010000023458126301,2.5191913072463374e-06,1.8393435741466386,39.00811296235078,7.884029396925525,0.0,0.0,0.0,4.3879596674562494e-09,9.70670997052503e-09,1.1712613897183127e-06,2.4938045462397297e-06,0.9245701242527322,2.2521600008481264,5.176118937267453,12.470063753365174,17.492640411958185,40.04451319927945,1,-0.8822421627938736,3.2035125900289625
NGC4068,Im,late,17.33135223388672,6000,1.999999301132402,0.2182495553120981,3.601436319866917,35.25289737662737,49.999902691431544,0.00012914063377358545,0.0002803802490234375,7.45123072202592e-06,6.695900289904389e-05,0.00014267205749618483,7.421512054178186e-05,0.00015804417527093273,0.9658740031510938,2.1098222555622343,12.412798251936088,29.552911172936184,0.008314786587185579,0.017639370328517145,3,-2.512820643350629,-0.5716371737465133
NGC4088,Sbc,intermediate,30.729745864868164,6000,0.01000000000056545,1.5359575820116367e-07,0.5113854926651945,36.516870642837354,14.290396223416439,11.783009948230896,24.99553871154785,0.3016520657285824,0.6958207177046271,1.4760586444526076,4.867082135249513,10.32464042393073,0.02722232130165587,0.06259199418913886,10.06825050888784,24.53609596786692,11.10053849411487,25.272739622701344,4,7.601433047602339,1.3084446508791607
NGC4100,Sbc,intermediate,3.636977195739746,6000,0.05924623505269625,8.512708966100493e-06,0.7743844733764789,38.45070435603251,5.214343434176102,0.4150118763728003,0.8827605247497559,0.10552502917726259,0.0005060260493064319,0.0012369722059144272,0.0007477430098959659,0.0018038872199049375,0.08013799033851648,0.17223801070733313,8.118172676530449,17.280818678527428,11.327248147091735,24.33024565932806,2,-0.5964214404706569,0.8104573447165706
NGC4138,S0,early,6.240718364715576,6000,0.0622563150965203,14.881704928392118,2.7950227721998138,31.549654469170775,48.534343383467814,0.0025020062363333715,0.006119728088378906,0.00040071378732899516,6.0600349100853764e-05,0.00014837827819344507,0.34897220385652716,0.7588498489996436,0.5172895039540212,1.2464843506108565,0.8035371730219592,1.9681416665521745,5.821227614536289,14.202529827100378,3,-1.524740969387114,-0.7176801185755197
NGC4389,Sbc,intermediate,99.3134765625,6000,0.010000000310119514,4.937967615227615e-07,0.5750411371652515,36.06043060673551,16.707232068028965,0.0,0.0,0.0,1.0243649246121389e-07,2.4414114950695176e-07,2.0718971656473038e-05,4.398330486478387e-05,1.5829692393367052,3.384495454291746,23.517907522958946,57.102253472339086,8.006798423458786,19.602565401154642,1,-2.2252562401759173,4.784848391672449
NGC4183,Scd,late,6.474160671234131,6000,0.08282919111346201,1.9129907569471534,2.843120877369757,51.55291971332983,11.788634663810246,0.6498185803126085,1.50911283493042,0.08811310753920246,0.02742539421817943,0.06700612232232564,5.267118112032136,12.7092650273026,0.8796099726995272,1.8752886113468108,12.160406490857635,29.39872122679097,8.779872735452367,21.24599770056395,0,1.0972402477036582,1.135050177530079
NGC4157,Sb,early,17.29313850402832,6000,0.020749099324476716,3.4661866686637657e-09,0.82667273471916,39.00784285277943,5.935307375281179,1.557343637328579e-06,3.814697265625e-06,9.005557118497811e-08,1.6043888533972957e-08,3.6837113984167225e-08,6.248795437924459e-07,1.3436402881200082e-06,0.12023087016394608,0.29380966190328506,10.781708791190407,26.14046455179849,0.33875558584157084,0.8092823620294363,2,-1.9451463742424577,0.09257009125021855
NGC4214,Im,late,6.746250629425049,6000,1.9999972036262652,0.4378366685819522,4.865152187765429,20.949203839405254,49.99987316054925,0.01420034640215705,0.03204059600830078,0.002098724537238588,0.002553580035050977,0.005659622576548395,0.003935911509048915,0.009580128114716868,0.012515326257250072,0.02828509518894151,5.837596295760823,14.00382725078141,0.45083916373631544,0.9825382641543712,3,-2.1959727781977625,-2.5440474022931054
