galaxy,median_G_Required_Outer,mean_G_Required_Outer,median_G_Ratio_Outer,mean_G_Ratio_Outer,type,M_bary_Msun,g_req_per_1e10Msun,log10_mass,log10_median_G_required
F583-1,4.813779717788827,4.88281777783926,1.7140669006434386,1.7386496320010416,Sm,2500000000.0,19.255118871155307,9.397940008672037,0.6824862127488064
F583-4,2.595212949766885,2.737961724935632,0.8777824494200889,0.9260645642001477,Sc,5000000000.0,5.19042589953377,9.698970004336019,0.41417299960807674
IC2574,2.7123139719822906,2.796653391957441,0.9419830121960387,0.9712739798700339,Sm,3500000000.0,7.749468491377974,9.544068044350276,0.4333399611562764
IC4202,1.423318571055066,1.4271264339675869,inf,inf,Sbc,0.0,inf,-inf,0.15330211594289828
KK98-251,2.3291222937808156,2.280769154875695,0.8293423599271464,0.8121250131023209,Im,2500000000.0,9.316489175123262,9.397940008672037,0.3671922923645683
NGC0024,5.495377592948973,5.495377592948973,2.0323280593908306,2.0323280593908306,Sc,1500000000.0,36.63585061965982,9.176091259055681,0.7399975385975759
NGC0055,2.2789876527436443,2.253857907259435,0.8428266257115705,0.8335330174000255,Sm,1500000000.0,15.193251018290963,9.176091259055681,0.3577419722361772
NGC0100,3.6894960034807314,3.6619048096330595,1.4803071141875868,1.4692369190977683,Scd,500000000.0,73.78992006961462,8.698970004336019,0.5669670442467092
NGC0247,2.6045996034371317,2.691342307568259,0.9632460678107702,0.9953256890144744,Sd,1500000000.0,17.363997356247545,9.176091259055681,0.4157409700989163
NGC0289,3.088467457884587,3.27979910416069,1.0997262346076024,1.1678546619877672,Sbc,2500000000.0,12.353869831538349,9.397940008672037,0.48974302968679034
NGC0300,4.548003291390216,4.602373094874547,1.5382774155183394,1.5566669890141298,Sd,5000000000.0,9.096006582780433,9.698970004336019,0.6578207703147498
NGC0801,1.5134569393589383,1.5134569393589383,inf,inf,Sc,0.0,inf,-inf,0.17997006898942908
NGC0891,1.032276781573294,1.0288893806371426,inf,inf,Sb,0.0,inf,-inf,0.013796159106553216
NGC1003,6.380635323922813,6.31978778457515,2.2719851042199686,2.250318813011002,Scd,2500000000.0,25.52254129569125,9.397940008672037,0.8048639238523212
NGC1090,1.7529669821147804,1.7442869996723516,0.6482910272641957,0.6450809526925407,Sbc,1500000000.0,11.68644654743187,9.176091259055681,0.2437737360479311
NGC1705,8.737398732246364,8.535022146030299,2.9552624039734803,2.8868122925597057,BCD,5000000000.0,17.474797464492728,9.698970004336019,0.9413821552451295
NGC2366,2.7570314850470963,2.7546126446996375,0.9817101507756121,0.9808488620543608,Im,2500000000.0,11.028125940188385,9.397940008672037,0.4404417257373078
NGC2403,4.455617562976938,4.515927141341698,1.6477987985341165,1.670102788803684,Scd,1500000000.0,29.704117086512923,9.176091259055681,0.6489079071619552
NGC2683,2.104857675087318,2.1062600538504976,0.749487322425655,0.7499866745275489,Sb,2500000000.0,8.419430700349272,9.397940008672037,0.3232227353194716
NGC2841,4.472974734147891,4.438966933018203,inf,inf,Sb,0.0,inf,-inf,0.6505964450425112
NGC2903,1.8715572990359768,1.9313944137079233,0.6921486921060511,0.714277953486892,Sbc,1500000000.0,12.477048660239845,9.176091259055681,0.2722031278833601
NGC2915,10.54476791954789,10.462319794143454,3.817389576976519,3.7875419201137546,BCD,2000000000.0,52.72383959773945,9.301029995663981,1.023037025766462
NGC2955,1.146022480915928,1.146022480915928,inf,inf,Sb,0.0,inf,-inf,0.0591931370397254
NGC2976,1.1518599846970423,1.1153204584900125,0.3895951886519279,0.3772363743906408,Sc,5000000000.0,2.3037199693940846,9.698970004336019,0.06139969126680893
NGC2998,1.928015903196631,1.928015903196631,inf,inf,Sc,0.0,inf,-inf,0.2851106118500364
NGC3109,7.370654309299297,7.08393844284028,2.624506173593271,2.5224138043121007,Sm,2500000000.0,29.48261723719719,9.397940008672037,0.8675060428529299
NGC3198,3.48374006901831,3.4455273852469808,1.288374197065989,1.2742421910046138,Sc,1500000000.0,23.2249337934554,9.176091259055681,0.5420457436943221
NGC3521,1.6759835972164976,1.6759835972164976,0.596775959521824,0.596775959521824,Sbc,2500000000.0,6.70393438886599,9.397940008672037,0.2242697638925738
NGC3726,2.294138777041937,2.2593798833662055,0.8743328696193898,0.8610857009840717,Sc,1000000000.0,22.941387770419368,9.0,0.3606196857015007
NGC3741,12.237458267814828,12.457501986661052,4.430172953701609,4.509832611003839,Im,2000000000.0,61.187291339074136,9.301029995663981,1.0876912237825003
NGC3769,4.012598219724964,4.016053941222192,1.5292651652945972,1.5305821958611496,Sb,1000000000.0,40.12598219724964,9.0,0.6034256761325534
NGC3877,0.7417601566581024,0.7396274064947398,0.2976105234660738,0.29675481709408374,Sc,500000000.0,14.835203133162047,8.698970004336019,-0.12973649833047438
NGC3893,1.720095982700382,1.68433704901605,0.6555560071716261,0.6419277073426747,Sc,1000000000.0,17.20095982700382,9.0,0.2355526815552765
NGC3917,1.8908649301184286,1.896407016430078,0.7206387760660267,0.7227509535319386,Scd,1000000000.0,18.908649301184283,9.0,0.27666050705798667
NGC3949,1.0064085696402545,1.0064085696402545,0.383558353796582,0.383558353796582,Sbc,1000000000.0,10.064085696402545,9.0,0.002774326165212888
NGC3953,0.918584629163388,0.918584629163388,inf,inf,Sbc,0.0,inf,-inf,-0.036880825982512286
NGC3972,1.7324069902178247,1.7084613113765545,0.6950798672415867,0.6854723331205733,Sbc,500000000.0,34.64813980435649,8.698970004336019,0.23864992742844882
NGC3992,2.165987905368171,2.165987905368171,inf,inf,Sbc,0.0,inf,-inf,0.335656027244736
NGC4010,1.5096086896613097,1.365121392787194,0.6056882785173909,0.5477167904684258,Sd,500000000.0,30.192173793226193,8.698970004336019,0.17886438706486033
NGC4013,2.432577167702762,2.3764951246767905,0.9760035744078548,0.9535022226808985,Sb,500000000.0,48.65154335405524,8.698970004336019,0.3860666261144562
NGC4051,0.7355586328163011,0.7355586328163011,0.2720279768796601,0.2720279768796601,Sbc,1500000000.0,4.9037242187753405,9.176091259055681,-0.13338270309462638
NGC4068,1.713399852886465,1.713399852886465,0.6019041500592623,0.6019041500592623,Im,3000000000.0,5.711332842954883,9.477121254719663,0.23385872527604573
NGC4085,0.8464830589254442,0.8464830589254442,0.3226081915361625,0.3226081915361625,Sc,1000000000.0,8.464830589254442,9.0,-0.07238172921342796
NGC4088,1.000927404201456,1.0021232170080387,inf,inf,Sbc,0.0,inf,-inf,0.00040257987889149395
