name,hubble_type,type_group,B_T,bt_law_ape,per_galaxy_ape,delta_ape,bt_law_params,per_galaxy_params
NGC3726,Sc,intermediate,0.15,65.71292877197266,17.335527420043945,48.37740135192871,"{'eta': 0.5427118050296204, 'ring_amp': 1.743723265330114, 'M_max': 2.1760005388256545, 'lambda_ring': 19.238379173361025, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.029402070365420613, 'ring_amp': 9.609121876916406e-09, 'M_max': 1.2501683608285115, 'bulge_gate_power': 1.9988278155354162, 'lambda_hat': 22.566783862212535}"
NGC3877,Sc,intermediate,0.15,74.98278045654297,27.282901763916016,47.69987869262695,"{'eta': 0.5427118050296204, 'ring_amp': 1.743723265330114, 'M_max': 2.1760005388256545, 'lambda_ring': 19.238379173361025, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000021826938071, 'ring_amp': 5.2392629919214636e-08, 'M_max': 1.6725166869772525, 'bulge_gate_power': 39.695677308334815, 'lambda_hat': 22.739024526590008}"
NGC4088,Sbc,intermediate,0.3,76.49697875976562,30.729745864868164,45.76723289489746,"{'eta': 0.2550240861821326, 'ring_amp': 1.0028092612599098, 'M_max': 1.6489174782333347, 'lambda_ring': 15.17754364143991, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01000000000056545, 'ring_amp': 1.5359575820116367e-07, 'M_max': 0.5113854926651945, 'bulge_gate_power': 36.516870642837354, 'lambda_hat': 14.290396223416439}"
NGC0801,Sc,intermediate,0.15,63.49913787841797,19.464622497558594,44.034515380859375,"{'eta': 0.5427118050296204, 'ring_amp': 1.743723265330114, 'M_max': 2.1760005388256545, 'lambda_ring': 19.238379173361025, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000272472831, 'ring_amp': 1.1618818792007164e-08, 'M_max': 0.5000000650376776, 'bulge_gate_power': 33.0922967608887, 'lambda_hat': 10.380359920262004}"
NGC4559,Scd,late,0.08,51.30799865722656,7.6715569496154785,43.636441707611084,"{'eta': 0.7410850910925162, 'ring_amp': 2.254615931399539, 'M_max': 2.5394474011966444, 'lambda_ring': 21.697549924966125, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.08784836634383036, 'ring_amp': 5.997864870894413e-07, 'M_max': 1.019381643728207, 'bulge_gate_power': 47.91892343954896, 'lambda_hat': 26.111483946311605}"
NGC5371,Sbc,intermediate,0.3,65.09095001220703,22.52911376953125,42.56183624267578,"{'eta': 0.2550240861821326, 'ring_amp': 1.0028092612599098, 'M_max': 1.6489174782333347, 'lambda_ring': 15.17754364143991, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000001063955702, 'ring_amp': 9.629092397698478e-08, 'M_max': 0.5000000447727986, 'bulge_gate_power': 33.73979280917106, 'lambda_hat': 23.031679428517748}"
NGC5907,Sc,intermediate,0.15,45.2409553527832,3.5110979080200195,41.729857444763184,"{'eta': 0.5427118050296204, 'ring_amp': 1.743723265330114, 'M_max': 2.1760005388256545, 'lambda_ring': 19.238379173361025, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01599120504095921, 'ring_amp': 7.914212145915375e-06, 'M_max': 2.1335127761431214, 'bulge_gate_power': 26.356354292325694, 'lambda_hat': 5.581677163013476}"
NGC4010,Sd,late,0.06,49.90865707397461,9.499314308166504,40.409342765808105,"{'eta': 0.8067609348673486, 'ring_amp': 2.4237581964111943, 'M_max': 2.6597744866992863, 'lambda_ring': 22.472395424541375, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.18318822792201855, 'ring_amp': 5.685047832185977e-07, 'M_max': 0.5397235294729672, 'bulge_gate_power': 22.181063126478058, 'lambda_hat': 7.16263555262619}"
NGC3953,Sbc,intermediate,0.3,49.871917724609375,10.447746276855469,39.424171447753906,"{'eta': 0.2550240861821326, 'ring_amp': 1.0028092612599098, 'M_max': 1.6489174782333347, 'lambda_ring': 15.17754364143991, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000197062679, 'ring_amp': 2.317329844360182e-08, 'M_max': 0.6358525688030443, 'bulge_gate_power': 32.032139916921764, 'lambda_hat': 12.110851763998232}"
NGC3893,Sc,intermediate,0.15,48.403472900390625,9.35173225402832,39.051740646362305,"{'eta': 0.5427118050296204, 'ring_amp': 1.743723265330114, 'M_max': 2.1760005388256545, 'lambda_ring': 19.238379173361025, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.06374006261016657, 'ring_amp': 3.625129615849636e-07, 'M_max': 0.7202635694333432, 'bulge_gate_power': 21.657792155797903, 'lambda_hat': 8.523690172477071}"
