galaxy,M_bary_Msun,median_percent_close_outer,mean_percent_close_outer,n_outer_points
NGC3953,180935443150.2469,87.4611876091482,87.62196321598668,4
NGC3972,19147089839.279793,93.3167289650056,93.18578274561143,5
NGC3992,298270063019.3708,82.73557848218937,83.66706470464557,4
NGC4010,22584478313.157604,96.08464713499693,95.9423600977595,6
NGC4013,105185479993.20154,87.27618962145937,88.22186753591802,18
NGC4051,85377423469.94737,72.04262146635962,73.38177208421625,3
NGC4068,490621355.5230742,95.37842527830013,94.08736112788613,3
NGC4085,28817372420.651096,79.52626949171155,80.66930652345643,3
NGC4088,144185826439.29816,78.06361612352292,79.20585172360272,6
NGC4100,75371067937.79364,91.81619407011135,91.38272956258199,12
NGC4138,49682502156.10402,93.98719455389532,94.35485635622824,3
NGC4157,135893669694.09294,92.88150155670013,93.39738350969102,8
NGC4183,18262188100.167755,96.0363315987357,95.93414325406175,11
NGC4214,1449899234.867171,73.45833777164611,73.29255480256187,7
NGC4217,93474371648.39955,96.98431805257088,95.61061527065272,9
NGC4389,24924918158.21419,31.972960800714233,38.8963088033054,3
NGC4559,33698977456.73216,98.15127667961866,98.05428555183619,16
NGC5005,201047100316.57968,83.07144167143021,83.20215280622774,9
NGC5033,140010421834.9683,81.66732039027325,81.68551678049539,11
NGC5055,182711104466.327,93.58130254462955,94.34936226048491,14
NGC5371,454261145456.5366,79.43854665315968,83.89474961599865,9
NGC5585,5788614066.505865,92.06847369748995,92.20236557346611,12
NGC5907,232783235323.42667,86.2093207270964,87.54463297432041,9
NGC5985,290991492247.885,79.17500781432395,79.36931586531087,16
NGC6015,46603816515.63365,82.10389109612571,83.18837212710376,22
NGC6195,438468917520.0061,81.31985279866433,84.55058438264493,11
NGC6503,16565793845.18131,89.72096256540537,89.65549695354659,15
NGC6674,262501843244.24353,73.19847833797098,74.36112830482547,7
NGC6946,83272792999.1083,96.78839536439305,96.10575963927276,29
NGC7331,297555953629.3987,93.39732352352762,92.56616365944531,18
NGC7793,10038617374.753643,94.00083449501363,93.8205147911126,23
NGC7814,80335582327.5345,79.34593506884211,79.9545532168325,9
PGC51017,347637633.1228523,-8.037558767147868,-6.050580987075375,3
UGC00128,30158463922.046104,88.75385736532684,89.38779249106766,11
UGC00191,5005647541.785895,92.90521301510731,87.16718641979594,4
UGC00731,3659578640.069958,95.21223323982673,95.39770676717474,6
UGC01230,22702170557.444828,91.75883193857413,90.91829048500594,5
UGC01281,871259040.7487658,78.32844333807482,83.30460272933834,12
UGC02259,3379800770.2668505,83.01661752314308,82.54868026944276,4
UGC02455,4819245686.8625145,25.614904974209903,26.342224999956194,4
UGC02487,570064496528.6671,68.30922074945565,67.90461338871437,8
UGC02885,579931230925.0719,77.25310988995584,77.72669531256207,9
UGC02916,179821157871.28354,97.48507577174851,96.51066435281083,21
UGC02953,309185980913.78766,85.3986329713519,84.24742937502205,57
UGC03205,143153920885.1139,91.99221635571556,89.4362692166081,24
UGC03546,120688003732.74792,92.28905547949715,90.06645633444492,15
UGC03580,21614091217.802006,88.03545666366884,87.7213300893923,23
UGC04278,4122665419.2304435,82.77027346306406,82.75583243035702,12
UGC04305,1878363403.163065,22.5447391650892,23.36114081622146,11
UGC04325,3799197980.3880305,78.92901082244687,78.71111078470531,4
UGC04483,57645047.42496477,70.41706698511557,70.49029155575512,4
UGC04499,4068144211.478869,97.75684836204601,97.41292220370191,4
UGC05005,14562928435.031258,98.44033294383772,97.12522856862564,5
UGC05253,209722659345.1773,85.63393378880649,86.64893799227654,36
UGC05414,1646178783.3924084,96.26716551340677,95.85785056823666,3
UGC05716,2842674762.725673,94.8484281229857,95.47102385932823,6
UGC05721,1486825586.8590565,71.89417442368496,70.06455726690659,11
UGC05750,11005375213.832,89.66176952837377,86.84009068839836,5
UGC05764,429346318.4889394,70.91544533824926,72.6334055732561,5
UGC05829,2580456188.825971,95.60278351141565,95.37494929536294,5
UGC05918,551884233.755559,89.13217871570009,90.37891984553134,4
UGC05986,7034384665.111218,76.41789877864804,77.16795377861693,7
