R_kpc,g_phi_R,g_N_R,g_tot_R
236.22047244094486,4.6852658698052424e+16,820.2984819112206,4.685265869805325e+16
245.66929133858267,4.378051260728785e+16,810.9155218854371,4.378051260728866e+16
255.11811023622045,4.168227564107613e+16,801.0421727711533,4.168227564107693e+16
264.56692913385825,3.92184838117757e+16,791.2100446474551,3.921848381177649e+16
274.01574803149606,3.785501251676543e+16,783.2535274843767,3.7855012516766216e+16
283.4645669291338,3.696791467679875e+16,775.6552519916239,3.696791467679953e+16
292.9133858267716,3.609409827268414e+16,768.3614702132079,3.609409827268491e+16
302.3622047244094,3.575414227887224e+16,760.0855708609758,3.5754142278873e+16
311.81102362204723,3.575993929446263e+16,750.9934096716303,3.5759939294463384e+16
321.25984251968504,3.460222115078965e+16,739.0068123137634,3.4602221150790388e+16
330.7086614173228,3.5634525957383304e+16,726.8574300170184,3.563452595738403e+16
340.1574803149606,3.614982408680981e+16,715.3872281346449,3.614982408681052e+16
349.6062992125984,3.593514206888294e+16,706.2050354320218,3.593514206888365e+16
359.0551181102362,3.543665440726107e+16,698.2506534572082,3.5436654407261772e+16
368.50393700787396,3.591308346884023e+16,691.7874195041411,3.5913083468840924e+16
377.95275590551176,3.713349415019879e+16,684.6385965702315,3.713349415019948e+16
387.4015748031496,3.773981835813918e+16,676.649638546054,3.7739818358139864e+16
396.8503937007874,3.807230720486883e+16,668.2809271769553,3.80723072048695e+16
406.2992125984252,3.815832352961214e+16,660.2181731287634,3.815832352961281e+16
415.74803149606294,3.84667057907834e+16,654.2777332455954,3.8466705790784056e+16
425.19685039370074,4.11452181930703e+16,648.4548552746081,4.114521819307095e+16
434.64566929133855,4.0555381997846616e+16,642.7253925492532,4.0555381997847256e+16
444.09448818897636,4.1054237496392776e+16,634.1808934470984,4.105423749639341e+16
453.54330708661416,4.191476924202085e+16,625.6914454066537,4.191476924202147e+16
462.9921259842519,4.3191286492611224e+16,617.7274332491978,4.319128649261184e+16
472.4409448818897,4.486240260366641e+16,609.9393006324342,4.4862402603667016e+16
481.8897637795275,4.748967264943023e+16,602.295310423854,4.748967264943083e+16
491.33858267716533,4.867887768748455e+16,594.6806561212851,4.8678877687485144e+16
500.7874015748031,4.899344194126139e+16,587.6527896786804,4.8993441941261976e+16
510.2362204724409,5.039713882812868e+16,581.2753892859723,5.039713882812926e+16
519.6850393700787,5.347291750715187e+16,576.9197287316141,5.347291750715245e+16
529.1338582677165,5.398922746058836e+16,572.3781517171202,5.3989227460588936e+16
538.5826771653543,5.623296504003579e+16,565.8742628307529,5.623296504003636e+16
548.0314960629921,5.892823034230132e+16,558.4088127104568,5.892823034230188e+16
557.4803149606299,6.181218470413634e+16,550.4063349093349,6.181218470413689e+16
566.9291338582676,6.329924320813459e+16,546.2184607326332,6.329924320813514e+16
576.3779527559054,6.617838422139697e+16,541.8057361676681,6.617838422139751e+16
585.8267716535432,6.549951651693584e+16,536.8742345690596,6.5499516516936376e+16
595.275590551181,6.623100456564461e+16,530.9534332552969,6.623100456564514e+16
604.7244094488188,6.698513095374777e+16,524.8541086077095,6.6985130953748296e+16
614.1732283464567,6.757355566568293e+16,519.3449604783098,6.757355566568345e+16
623.6220472440945,6.825524090132201e+16,513.8578329923982,6.825524090132252e+16
633.0708661417323,6.789834062380857e+16,508.3994567509155,6.789834062380908e+16
642.5196850393701,6.898356012928188e+16,502.5945609723215,6.898356012928238e+16
651.9685039370078,6.897043181578337e+16,496.7075755720159,6.8970431815783864e+16
661.4173228346456,6.987315257545959e+16,490.56142885832537,6.987315257546008e+16
670.8661417322834,7.099105499650379e+16,485.4288420222862,7.099105499650428e+16
680.3149606299212,7.1073958666398104e+16,480.9051372148954,7.1073958666398584e+16
689.763779527559,7.26486380354639e+16,478.19984918350303,7.264863803546438e+16
699.2125984251968,7.641099918047184e+16,474.49933559029836,7.641099918047232e+16
708.6614173228346,7.911154605261115e+16,469.5244189201857,7.911154605261162e+16
718.1102362204724,8.100088929152982e+16,463.5107584801749,8.100088929153029e+16
727.5590551181102,8.344511796717792e+16,457.6149295035075,8.344511796717838e+16
737.0078740157479,8.455589508513542e+16,452.88948753013057,8.455589508513587e+16
746.4566929133857,8.726005673095755e+16,448.9013478215288,8.7260056730958e+16
755.9055118110235,8.709111217681898e+16,445.4491568456075,8.709111217681942e+16
765.3543307086613,8.858831690555714e+16,441.8515094783936,8.858831690555758e+16
