name,hubble_type,type_group,B_T,R_d_kpc,Sigma0,shear,compactness,v2_ape,per_galaxy_ape,delta_ape,v2_params,per_galaxy_params
ESO116-G012,Sd,late,0.06,1.51,660.39,0.8405177324251826,0.6313813333333333,17.34494400024414,4.46946382522583,12.87548017501831,"{'eta': 0.8046461011428672, 'ring_amp': 2.141634916054478, 'M_max': 2.6555911055704673, 'lambda_ring': 20.292589863342943, 'kappa': np.float64(0.6432058451780291), 'R0': 3.02, 'R1': 42.28, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.3679669887925565, 'ring_amp': 1.0125506724975841, 'M_max': 4.094575783064954, 'bulge_gate_power': 6.56769473296225, 'lambda_hat': 26.39434415508784}"
ESO444-G084,Im,late,0.0,0.46,33.405,0.5211851571368538,0.061051353333333336,26.046560287475586,16.146495819091797,9.900064468383789,"{'eta': 0.8673810818913451, 'ring_amp': 2.938151276147638, 'M_max': 2.778153090654328, 'lambda_ring': 24.570494973247488, 'kappa': np.float64(0.6151714929696266), 'R0': 0.92, 'R1': 12.88, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9998567573310453, 'ring_amp': 14.999922285211653, 'M_max': 4.9999856259683, 'bulge_gate_power': 53.59493236443798, 'lambda_hat': 12.431100216973855}"
ESO563-G021,Sbc,intermediate,0.3,5.45,3279.445,0.7328612968522806,18.719115,27.3439998626709,19.584199905395508,7.759799957275391,"{'eta': 0.25496338615540226, 'ring_amp': 0.9293298582137163, 'M_max': 1.6486819961582806, 'lambda_ring': 14.250783115149833, 'kappa': np.float64(0.5215862504938075), 'R0': 10.9, 'R1': 152.6, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.022181620305349765, 'ring_amp': 0.03740662489972164, 'M_max': 1.5506130132598577, 'bulge_gate_power': 2.7650599484565355, 'lambda_hat': 5.000044150874049}"
F561-1,Sm,late,0.03,2.79,46.535,0.6220344778154272,0.23623488000000004,61.948486328125,10.2810697555542,51.6674165725708,"{'eta': 0.8130511148603151, 'ring_amp': 2.5894961340056435, 'M_max': 2.666948454603629, 'lambda_ring': 22.899603828776428, 'kappa': np.float64(0.6008172239443668), 'R0': 5.58, 'R1': 78.12, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000746749485, 'ring_amp': 1.659788259487276, 'M_max': 0.6115445819551328, 'bulge_gate_power': 41.45006164048185, 'lambda_hat': 5.000000066909801}"
F563-1,Sm,late,0.03,3.52,20.885,0.7719560864667567,1.485,39.25986862182617,9.390008926391602,29.86985969543457,"{'eta': 0.6924998879137151, 'ring_amp': 2.4617836310980494, 'M_max': 2.4408583941400974, 'lambda_ring': 21.96499914489157, 'kappa': np.float64(0.5190958392762064), 'R0': 7.04, 'R1': 98.56, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999214102940255, 'ring_amp': 0.3201730087047125, 'M_max': 4.999988104723264, 'bulge_gate_power': 39.86323450667443, 'lambda_hat': 47.31476843854141}"
F563-V1,Im,late,0.0,3.79,20.315,0.870542905295792,0.10994158333333333,24.907697677612305,5.885758876800537,19.021938800811768,"{'eta': 0.7759007258619005, 'ring_amp': 2.6095846394866964, 'M_max': 2.6146503869724604, 'lambda_ring': 22.288782218657612, 'kappa': np.float64(0.5139341315502743), 'R0': 7.58, 'R1': 106.12, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01000000105997286, 'ring_amp': 6.317060170585312, 'M_max': 0.8266408159929945, 'bulge_gate_power': 6.266126604158553, 'lambda_hat': 5.000001811810064}"
F563-V2,Im,late,0.0,2.43,73.08,0.7031544807566026,1.127844,28.114267349243164,6.900559902191162,21.213707447052002,"{'eta': 0.9659789438289798, 'ring_amp': 2.810175906709092, 'M_max': 2.954376902014068, 'lambda_ring': 23.681777129924246, 'kappa': np.float64(0.631514690853987), 'R0': 4.86, 'R1': 68.04, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999999871829581, 'ring_amp': 14.999999953303734, 'M_max': 3.652011313609448, 'bulge_gate_power': 43.14544404876526, 'lambda_hat': 49.999999990555374}"
F565-V2,Im,late,0.0,2.17,20.13,0.5889973042858947,0.49950578999999995,29.28519630432129,2.5169262886047363,26.768270015716553,"{'eta': 0.774133218598947, 'ring_amp': 2.9012587509918184, 'M_max': 2.6114913238816126, 'lambda_ring': 24.31429688188763, 'kappa': np.float64(0.5624125403401422), 'R0': 4.34, 'R1': 60.76, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.6782597982649508, 'ring_amp': 11.51198290614089, 'M_max': 4.999961247042732, 'bulge_gate_power': 17.388314945919305, 'lambda_hat': 11.393834520993863}"
F567-2,Sm,late,0.03,3.08,23.325,0.808809043183601,0.27975024,14.795610427856445,4.154174327850342,10.641436100006104,"{'eta': 0.7113108806223898, 'ring_amp': 2.4215398873228766, 'M_max': 2.476137823363719, 'lambda_ring': 21.670493982334754, 'kappa': np.float64(0.5199643878187064), 'R0': 6.16, 'R1': 86.24000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.1293806339195693, 'ring_amp': 3.8779653003049256e-10, 'M_max': 0.6626452849928082, 'bulge_gate_power': 47.02649957902605, 'lambda_hat': 40.701726910122325}"
F568-1,Sc,intermediate,0.15,5.18,28.565,0.6406330451845483,3.4816506666666664,46.142024993896484,6.834573745727539,39.307451248168945,"{'eta': 0.4424655514369897, 'ring_amp': 1.665123111635313, 'M_max': 1.9348383973598957, 'lambda_ring': 18.515720753334172, 'kappa': np.float64(0.5021987486675927), 'R0': 10.36, 'R1': 145.04, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.13766358118953861, 'ring_amp': 7.547608863204387, 'M_max': 3.7518419116974013, 'bulge_gate_power': 24.042549858794445, 'lambda_hat': 42.24787614285506}"
F568-3,Sd,late,0.06,4.99,66.04,0.7823685542336438,2.3952,20.68385887145996,6.463082313537598,14.220776557922363,"{'eta': 0.7491367861937199, 'ring_amp': 2.201208353221863, 'M_max': 2.5457873806044047, 'lambda_ring': 20.75287980989744, 'kappa': np.float64(0.5707864970983603), 'R0': 9.98, 'R1': 139.72, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.1497351826455731, 'ring_amp': 1.6593959182732554, 'M_max': 1.9712854552734695, 'bulge_gate_power': 38.69559857650219, 'lambda_hat': 43.258866473491985}"
F568-V1,Sd,late,0.06,2.85,45.27,0.8322972815272548,1.32278,32.92958068847656,4.527088642120361,28.4024920463562,"{'eta': 0.7151963575759321, 'ring_amp': 2.1504670843367646, 'M_max': 2.4786493607496825, 'lambda_ring': 20.360830986566896, 'kappa': np.float64(0.5404852893230542), 'R0': 5.7, 'R1': 79.8, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.6905944002294063, 'ring_amp': 2.5910500955630402, 'M_max': 4.073273752357531, 'bulge_gate_power': 8.25837283344052, 'lambda_hat': 22.5874758352055}"
F571-8,Sc,intermediate,0.15,3.56,43.63,1.3973686440812303,2.460672,54.45996856689453,47.91035461425781,6.549613952636719,"{'eta': 0.47844074238228024, 'ring_amp': 1.066045792131379, 'M_max': 2.0213838170347476, 'lambda_ring': 13.00773827701908, 'kappa': np.float64(0.42257137522745114), 'R0': 7.12, 'R1': 99.68, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.671687976172297, 'ring_amp': 1.521696902532111e-11, 'M_max': 4.999997103258305, 'bulge_gate_power': 10.715050829877804, 'lambda_hat': 38.2434843956796}"
F571-V1,Sd,late,0.06,2.47,32.195,0.6757744041700007,0.58510101,9.30729866027832,2.218097448348999,7.089201211929321,"{'eta': 0.6741740191882164, 'ring_amp': 2.2908647377831035, 'M_max': 2.3975025196129103, 'lambda_ring': 21.445603520668243, 'kappa': np.float64(0.5489559752469333), 'R0': 4.94, 'R1': 69.16000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.03201837013720072, 'ring_amp': 11.58009572330401, 'M_max': 4.290859625871251, 'bulge_gate_power': 52.02966322587177, 'lambda_hat': 31.60196251312915}"
F574-1,Sd,late,0.06,4.46,64.24,0.7446073593022502,1.4777600466666667,24.189111709594727,3.1480841636657715,21.041027545928955,"{'eta': 0.7470589187028929, 'ring_amp': 2.236003961683547, 'M_max': 2.541677122881215, 'lambda_ring': 21.021725616362474, 'kappa': np.float64(0.5770950165968594), 'R0': 8.92, 'R1': 124.88, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.03969180032454729, 'ring_amp': 10.802381239504461, 'M_max': 2.232220626203451, 'bulge_gate_power': 27.340071147814786, 'lambda_hat': 48.64855896482048}"
F574-2,Sm,late,0.03,3.76,20.69,0.47706343408475116,0.20053333333333334,74.75225830078125,33.90946578979492,40.84279251098633,"{'eta': 0.69089459183727, 'ring_amp': 2.6590646897784356, 'M_max': 2.437847711493573, 'lambda_ring': 23.408709018919023, 'kappa': np.float64(0.5667453331064967), 'R0': 7.52, 'R1': 105.28, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000007380740151, 'ring_amp': 1.6391024139479852e-06, 'M_max': 3.5192905259016563, 'bulge_gate_power': 34.832217597346734, 'lambda_hat': 5.069899220433766}"
F579-V1,Sc,intermediate,0.15,3.37,100.88,0.7720710890065081,1.4598839999999997,24.719209671020508,9.757652282714844,14.961557388305664,"{'eta': 0.5207008933518101, 'ring_amp': 1.590669727984726, 'M_max': 2.1230489480619217, 'lambda_ring': 17.831188191177798, 'kappa': np.float64(0.5408991454357588), 'R0': 6.74, 'R1': 94.36, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.85001570277771, 'ring_amp': 10.177498733187965, 'M_max': 1.3438318739912911, 'bulge_gate_power': 32.98309439456793, 'lambda_hat': 19.89161010697422}"
F583-1,Sm,late,0.03,2.36,30.465,0.6019156652902273,0.5940599866666668,30.403125762939453,11.07363510131836,19.329490661621094,"{'eta': 0.7548637009039589, 'ring_amp': 2.602131887591516, 'M_max': 2.5578197773365234, 'lambda_ring': 22.992072727411326, 'kappa': np.float64(0.575005146694859), 'R0': 4.72, 'R1': 66.08, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999999870346798, 'ring_amp': 0.29777064797744873, 'M_max': 4.817271284119534, 'bulge_gate_power': 39.396696381117614, 'lambda_hat': 49.475287474772095}"
F583-4,Sc,intermediate,0.15,1.93,41.67,0.7724552562833721,0.3143333100000001,12.226794242858887,9.000103950500488,3.2266902923583984,"{'eta': 0.47499798997738213, 'ring_amp': 1.5904095476737985, 'M_max': 2.0131015968744257, 'lambda_ring': 17.828796064908595, 'kappa': np.float64(0.5019998330009413), 'R0': 3.86, 'R1': 54.04, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.08750147618009674, 'ring_amp': 6.090576639113926, 'M_max': 2.2658004135485608, 'bulge_gate_power': 32.940944302894046, 'lambda_hat': 34.08302418713297}"
IC2574,Sm,late,0.03,2.78,40.16,0.5266092111924736,0.42221250000000005,6.442817687988281,5.154267311096191,1.2885503768920898,"{'eta': 0.7946776468822232, 'ring_amp': 2.6406216775498113, 'M_max': 2.632489589345197, 'lambda_ring': 23.273742392931823, 'kappa': np.float64(0.6092703338082619), 'R0': 5.56, 'R1': 77.83999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.31875255134628333, 'ring_amp': 3.9327494965577836, 'M_max': 3.883873573334366, 'bulge_gate_power': 8.464664694200772, 'lambda_hat': 10.934788207185504}"
IC4202,Sbc,intermediate,0.3,4.78,4444.265,0.8192350446640553,9.958333333333334,32.65425491333008,18.276592254638672,14.377662658691406,"{'eta': 0.2549856035127805, 'ring_amp': 0.8954330806394304, 'M_max': 1.6487681870497752, 'lambda_ring': 13.82325929048656, 'kappa': np.float64(0.5090765301230772), 'R0': 9.56, 'R1': 133.84, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010752637368131817, 'ring_amp': 14.99999676810502, 'M_max': 4.2802908195242875, 'bulge_gate_power': 23.92977821815692, 'lambda_hat': 49.999975510375876}"
KK98-251,Im,late,0.0,1.34,26.05,0.9134383986861417,0.05347314666666668,10.561810493469238,6.03050422668457,4.531306266784668,"{'eta': 0.8232882732118079, 'ring_amp': 2.5475762295696565, 'M_max': 2.6993460795653985, 'lambda_ring': 21.858168260900392, 'kappa': np.float64(0.5220519052881053), 'R0': 2.68, 'R1': 37.52, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9986340298942247, 'ring_amp': 10.427109865675233, 'M_max': 2.841462312089197, 'bulge_gate_power': 28.94993289146404, 'lambda_hat': 7.630711908412413}"
NGC0024,Sc,intermediate,0.15,1.34,591.29,1.238323226306728,0.5404666666666668,18.80828857421875,7.551593780517578,11.256694793701172,"{'eta': 0.5410341981939741, 'ring_amp': 1.1877594435084264, 'M_max': 2.171964724592974, 'lambda_ring': 14.126786915796163, 'kappa': np.float64(0.5010760794539799), 'R0': 2.68, 'R1': 37.52, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.5716936342457126, 'ring_amp': 14.81132464109241, 'M_max': 1.172381090811818, 'bulge_gate_power': 32.13769056654479, 'lambda_hat': 10.366767940837988}"
NGC0055,Sm,late,0.03,6.11,195.795,0.7154175177098026,1.5557607866666672,10.309202194213867,3.0150744915008545,7.294127702713013,"{'eta': 0.8990095597575738, 'ring_amp': 2.5169197707170365, 'M_max': 2.8281608329129857, 'lambda_ring': 22.368487395188566, 'kappa': np.float64(0.6596987848351701), 'R0': 12.22, 'R1': 171.08, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.16982362185900982, 'ring_amp': 0.5012732881476034, 'M_max': 1.202077851448737, 'bulge_gate_power': 51.097713150633794, 'lambda_hat': 43.700659109657366}"
NGC0100,Scd,late,0.08,1.66,596.76,0.9443594154215614,0.46023168000000003,19.10213279724121,4.679586887359619,14.422545909881592,"{'eta': 0.7388255144790394, 'ring_amp': 1.8795975081581793, 'M_max': 2.5348017193218904, 'lambda_ring': 18.690023289002863, 'kappa': np.float64(0.600567070369197), 'R0': 3.32, 'R1': 46.48, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.8872968161035519, 'ring_amp': 0.010464488681194217, 'M_max': 2.953921595428708, 'bulge_gate_power': 54.45097483928447, 'lambda_hat': 9.876698001742664}"
NGC0247,Sd,late,0.06,3.74,253.395,0.6503545620219109,1.4541120000000003,13.254852294921875,4.630248069763184,8.624604225158691,"{'eta': 0.7980103338576193, 'ring_amp': 2.3082594511707697, 'M_max': 2.64246480475779, 'lambda_ring': 21.580002542719686, 'kappa': np.float64(0.6645033190392255), 'R0': 7.48, 'R1': 104.72, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.879993025907167, 'ring_amp': 11.204778135479216, 'M_max': 1.393413676217913, 'bulge_gate_power': 33.04955262781546, 'lambda_hat': 19.893679231371348}"
NGC0289,Sbc,intermediate,0.3,6.74,34.98,1.4153458358191804,8.455554666666666,9.92092227935791,26.695493698120117,-16.774571418762207,"{'eta': 0.21653625595498535, 'ring_amp': 0.6061135050165519, 'M_max': 1.4996062733720894, 'lambda_ring': 10.174210018791776, 'kappa': np.float64(0.3776670308071212), 'R0': 13.48, 'R1': 188.72, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010090887355050067, 'ring_amp': 9.183789547970386, 'M_max': 0.5000001408490987, 'bulge_gate_power': 34.03989279114407, 'lambda_hat': 18.226615671635866}"
NGC0300,Sd,late,0.06,1.75,218.675,0.8932239523641298,0.5488583333333333,9.094193458557129,3.078833818435669,6.01535964012146,"{'eta': 0.7959038842809647, 'ring_amp': 2.082182817101386, 'M_max': 2.638298008424927, 'lambda_ring': 19.833237427914682, 'kappa': np.float64(0.5985032493277456), 'R0': 3.5, 'R1': 49.0, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.6645354504815157, 'ring_amp': 4.593815311821863, 'M_max': 4.238574297245658, 'bulge_gate_power': 14.351570395080692, 'lambda_hat': 5.000024579337943}"
NGC0801,Sc,intermediate,0.15,8.72,779.47,1.102687874743154,16.464522666666667,43.144344329833984,19.464622497558594,23.67972183227539,"{'eta': 0.5416010869270982, 'ring_amp': 1.3082529302851345, 'M_max': 2.1733284872868754, 'lambda_ring': 15.234617227625977, 'kappa': np.float64(0.5291727832102355), 'R0': 17.44, 'R1': 244.16000000000003, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000272472831, 'ring_amp': 1.1618818792007164e-08, 'M_max': 0.5000000650376776, 'bulge_gate_power': 33.0922967608887, 'lambda_hat': 10.380359920262004}"
NGC0891,Sb,early,0.4,2.55,2533.96,1.3093931918888502,4.654259999999999,49.227203369140625,25.116966247558594,24.11023712158203,"{'eta': 0.14220805801320097, 'ring_amp': 0.46175658871956976, 'M_max': 1.442011278798524, 'lambda_ring': 9.379021030548062, 'kappa': np.float64(0.40127429309170215), 'R0': 5.1, 'R1': 71.39999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000064146844, 'ring_amp': 0.009104364858367619, 'M_max': 4.473376649256515, 'bulge_gate_power': 59.58656250156273, 'lambda_hat': 6.029924453297062}"
NGC1003,Scd,late,0.08,1.61,672.665,0.7625723990775997,0.7097416666666666,27.549345016479492,4.835995197296143,22.71334981918335,"{'eta': 0.7391950816551407, 'ring_amp': 2.0649393258383197, 'M_max': 2.535561548185969, 'lambda_ring': 20.176404807577264, 'kappa': np.float64(0.6494973829601467), 'R0': 3.22, 'R1': 45.080000000000005, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.2281643003044143, 'ring_amp': 0.04410720790028988, 'M_max': 4.941830859218959, 'bulge_gate_power': 15.25789443788645, 'lambda_hat': 24.530271651437047}"
NGC1090,Sbc,intermediate,0.3,3.53,1027.545,0.8836798650649641,3.644842666666666,34.2998161315918,12.617903709411621,21.681912422180176,"{'eta': 0.2546787697774369, 'ring_amp': 0.8660786572551719, 'M_max': 1.6475778441687698, 'lambda_ring': 13.45302600419496, 'kappa': np.float64(0.48875233185337613), 'R0': 7.06, 'R1': 98.83999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.02529918171471026, 'ring_amp': 1.9559881551333738e-08, 'M_max': 0.826403587399198, 'bulge_gate_power': 20.680318212950823, 'lambda_hat': 10.304199834721025}"
NGC1705,BCD,late,0.08,0.39,293.63,0.8542299719275843,0.06965712,23.80593490600586,7.575066566467285,16.230868339538574,"{'eta': 0.7346132171332141, 'ring_amp': 1.9782171442953806, 'M_max': 2.5261412502261047, 'lambda_ring': 19.480920919972707, 'kappa': np.float64(0.6044042064736341), 'R0': 0.78, 'R1': 10.92, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9556467266382433, 'ring_amp': 0.995577927146168, 'M_max': 4.9999995211030885, 'bulge_gate_power': 24.863194955427446, 'lambda_hat': 47.97515485004313}"
NGC2366,Im,late,0.0,0.65,56.99,0.6817200725187357,0.06247995000000001,31.673126220703125,5.590329647064209,26.082796573638916,"{'eta': 0.9418257842557293, 'ring_amp': 2.830199098893928, 'M_max': 2.911207995987785, 'lambda_ring': 23.82082707565228, 'kappa': np.float64(0.6204456112498782), 'R0': 1.3, 'R1': 18.2, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.0848951588366735, 'ring_amp': 0.8156618065434253, 'M_max': 1.855852402970004, 'bulge_gate_power': 38.94541680402615, 'lambda_hat': 37.96057972952357}"
NGC2403,Scd,late,0.08,1.39,704.37,1.0117107563216612,0.8569813333333335,30.722244262695312,4.946294784545898,25.775949478149414,"{'eta': 0.7393206431999725, 'ring_amp': 1.8005513461798546, 'M_max': 2.5358197022974576, 'lambda_ring': 18.056098599208422, 'kappa': np.float64(0.5876344743793517), 'R0': 2.78, 'R1': 38.919999999999995, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.3106262491716379, 'ring_amp': 3.1781924703758945e-06, 'M_max': 3.4555164126562783, 'bulge_gate_power': 43.053062572227134, 'lambda_hat': 5.624838748036028}"
NGC2683,Sb,early,0.4,2.18,5102.7,1.1112383006459376,3.265930666666667,24.100122451782227,6.172699451446533,17.927423000335693,"{'eta': 0.14224044950840303, 'ring_amp': 0.5312636485578364, 'M_max': 1.4422083239791261, 'lambda_ring': 10.457920157618524, 'kappa': np.float64(0.4215994840130617), 'R0': 4.36, 'R1': 61.040000000000006, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.029138926471208387, 'ring_amp': 2.936504703093716e-05, 'M_max': 1.188054741835371, 'bulge_gate_power': 23.329667153042948, 'lambda_hat': 7.110733377181596}"
NGC2841,Sb,early,0.4,3.64,2375.745,0.906009207904461,12.658585333333335,7.810346603393555,2.7839972972869873,5.026349306106567,"{'eta': 0.14220300110469958, 'ring_amp': 0.6075619127494787, 'M_max': 1.4419805164196116, 'lambda_ring': 11.642233388891684, 'kappa': np.float64(0.4410167806120126), 'R0': 7.28, 'R1': 101.92, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.03499559717321167, 'ring_amp': 5.36738652028321, 'M_max': 4.221275192925453, 'bulge_gate_power': 6.827190065456678, 'lambda_hat': 5.081792306822073}"
