Galaxy,Galaxy_Type,Galaxy_Class,Baryonic_Mass_Msun,Mass_Category,Boundary_kpc,Outer_Points_Count,Avg_GR_Percent_Off,Median_GR_Percent_Off,Avg_Model_Percent_Off,Median_Model_Percent_Off,Median_G_Required_Outer,Mean_G_Required_Outer,Median_G_Ratio_Outer,Mean_G_Ratio_Outer,Model
NGC5985,Sb,spiral,0.0,ultra-light,27.776,0,,,,,2.206085182660936,2.1829652858200075,,,shell
NGC6015,Scd,spiral,1000000000.0,dwarf,23.384,8,44.2607290891614,43.8726620801488,11.868474402290946,11.25488658566649,3.179731921833983,3.2425196303872834,1.271892768733593,1.2970078521549133,shell
NGC6195,Sb,spiral,0.0,ultra-light,29.144000000000002,0,,,,,1.0723422766401824,1.096303001986845,,,shell
NGC6503,Scd,spiral,1000000000.0,dwarf,18.8,7,49.768164229848125,50.189549241587436,20.57649395740091,21.24276216187742,4.030501213313857,3.983405054450562,1.612200485325543,1.5933620217802247,shell
NGC6674,Sb,spiral,0.0,ultra-light,57.928,0,,,,,3.5329790022360306,3.57983337214784,,,shell
NGC6789,BCD,dwarf BCD,3500000000.0,dwarf,0.568,1,59.52761148842415,59.52761148842415,36.00753497809415,36.00753497809415,6.104953061864493,6.104953061864493,2.4419812247457973,2.4419812247457973,shell
NGC6946,Scd,spiral,1000000000.0,dwarf,16.32,12,14.080921297340906,15.309308569154272,35.84999158183383,33.90774076798853,1.3942347169545022,1.3589172319598706,0.5576938867818009,0.5435668927839483,shell
NGC7331,Sb,spiral,0.0,ultra-light,29.048000000000002,0,,,,,1.5194131341847439,1.5103973777264914,,,shell
NGC7793,Sd,spiral,4500000000.0,dwarf,6.296,4,20.279715867724136,20.167878150203858,26.048836786885857,26.22566774472515,1.569899680689987,1.5748627778043363,0.6279598722759947,0.6299451111217345,shell
NGC7814,Sab,spiral,500000000.0,ultra-light,15.624000000000002,4,34.9879934391342,35.136356557674574,20.37687838570328,20.55858535423927,2.378538697223907,2.3750432834612187,1.585692464815938,1.5833621889741456,shell
PGC51017,BCD,dwarf BCD,1500000000.0,dwarf,2.904,2,13.055223979434222,13.055223979434222,78.75600457774867,78.75600457774867,0.7832336746505759,0.7832336746505759,0.3132934698602303,0.3132934698602303,shell
UGC00128,Sdm,spiral,5000000000.0,dwarf,21.5,13,56.11563433422469,54.370056171998904,7.903021169602549,4.235105022650629,4.8028622590472585,5.364496060905442,1.0904037252586876,1.199644704333995,shell
UGC00191,Sm,dwarf irregular,2500000000.0,dwarf,7.984000000000001,1,44.608600223336914,44.608600223336914,12.41850696040128,12.41850696040128,3.2592323296566565,3.2592323296566565,1.3036929318626627,1.3036929318626627,shell
UGC00634,Sm,dwarf irregular,4000000000.0,dwarf,7.204000000000001,3,51.96631892625285,52.252858480118256,24.052081702418352,24.505140517389936,4.386369837088706,4.444724272147989,1.7545479348354824,1.7778897088591956,shell
UGC00731,Im,dwarf irregular,1500000000.0,dwarf,6.4,5,49.85080274682843,49.37912873386237,20.707156925459046,19.961374828416762,3.902480740587652,3.992713177498918,1.5609922962350606,1.597085270999567,shell
UGC00891,Sm,dwarf irregular,2500000000.0,dwarf,3.2,3,51.960448942454626,52.77003435861221,24.042800443102994,25.322867380859638,4.482958729405065,4.4930275401739594,1.7931834917620262,1.797211016069584,shell
UGC01230,Sm,dwarf irregular,5000000000.0,dwarf,14.616,4,46.50217150399241,46.18591959895468,12.689873972313402,11.52312116653059,3.453225517857386,3.5283495376147824,0.8069591233032951,0.7938517157445384,shell
UGC01281,Sdm,spiral,500000000.0,ultra-light,3.2,5,52.06852789767678,51.848980684132705,41.296175364430624,41.02728604061421,4.313095055624667,4.356485493493373,2.8753967037497783,2.904323662328915,shell
UGC02023,Im,dwarf irregular,5000000000.0,dwarf,3.024,2,23.330967192567535,23.330967192567535,54.23631937529808,54.23631937529808,1.7353121031889809,1.7353121031889809,0.42652867118401805,0.42652867118401805,shell
UGC02259,Sdm,spiral,1500000000.0,dwarf,6.5120000000000005,2,51.10909578824722,51.10909578824722,22.69669291287102,22.69669291287102,4.203291841899063,4.203291841899063,1.6813167367596251,1.6813167367596251,shell
UGC02455,Im,dwarf irregular,2500000000.0,dwarf,3.224,2,29.06660280196731,29.06660280196731,104.0722173572434,104.0722173572434,0.6147916450224991,0.6147916450224991,0.24591665800899964,0.24591665800899964,shell
UGC02487,S0,lenticular,0.0,ultra-light,64.304,0,,,,,3.3514841229065944,3.359132491620329,,,shell
UGC02885,Sc,spiral,0.0,ultra-light,59.256,0,,,,,2.470583751101445,2.4703690084769114,,,shell
UGC02916,Sab,spiral,0.0,ultra-light,30.400000000000002,0,,,,,1.509878353143353,1.5175943856219603,,,shell
UGC02953,Sab,spiral,0.0,ultra-light,49.912000000000006,0,,,,,3.2178163638286894,3.244034594642475,,,shell
UGC03205,Sab,spiral,0.0,ultra-light,32.032000000000004,0,,,,,3.165529320028739,3.165529320028739,,,shell
UGC03546,Sa,spiral,0.0,ultra-light,23.384,0,,,,,2.103214467628312,2.103214467628312,,,shell
UGC03580,Sa,spiral,2000000000.0,dwarf,21.648,2,52.19629260065456,52.19629260065456,24.415702008912028,24.415702008912028,4.380978900639674,4.380978900639674,1.7523915602558695,1.7523915602558695,shell
UGC04278,Sd,spiral,1500000000.0,dwarf,5.352,6,46.97053850311023,46.367053882158174,16.153059288813125,15.198866321267193,3.4888018037188213,3.605511494288851,1.3955207214875285,1.4422045977155402,shell
UGC04305,Im,dwarf irregular,5000000000.0,dwarf,4.4159999999999995,5,13.085518128661496,12.581037158510625,128.0573586325309,127.08793670638387,0.7889863858076184,0.7823464647686064,0.1939152083736746,0.19248752942383454,shell
UGC04325,Sm,dwarf irregular,1500000000.0,dwarf,4.472,2,40.489238770108926,40.489238770108926,5.905224611550469,5.905224611550469,2.824065280390095,2.824065280390095,1.1296261121560383,1.1296261121560383,shell
UGC04483,Im,dwarf irregular,1500000000.0,dwarf,0.968,2,41.073495072407695,41.073495072407695,6.829014937836451,6.829014937836451,2.8800322301938137,2.8800322301938137,1.1520128920775257,1.1520128920775257,shell
UGC04499,Sdm,spiral,1500000000.0,dwarf,6.5440000000000005,2,37.59424901201557,37.59424901201557,1.3278438923330345,1.3278438923330345,2.5677886952040154,2.5677886952040154,1.027115478081606,1.027115478081606,shell
UGC05005,Im,dwarf irregular,5000000000.0,dwarf,11.444,4,51.69478857889694,52.17999118875678,2.7728224082327966,2.450296447284699,4.373809743159406,4.293888050327823,0.9527836923666247,0.9473026961626213,shell
UGC05253,Sab,spiral,0.0,ultra-light,42.632000000000005,0,,,,,2.4454905961529203,2.4808400726092543,,,shell
UGC05414,Im,dwarf irregular,1500000000.0,dwarf,3.2880000000000003,2,30.6876548753104,30.6876548753104,9.592440280843308,9.592440280843308,2.085338339878712,2.085338339878712,0.8341353359514849,0.8341353359514849,shell
UGC05716,Sm,dwarf irregular,5000000000.0,dwarf,6.4,6,55.118750610857866,54.97396240604094,6.845327796603144,6.472763496987873,4.932760700462096,4.979223655387346,1.1437299344052687,1.1551902761285777,shell
UGC05721,Sd,spiral,2500000000.0,dwarf,5.392,3,60.40555705987754,60.427732424820086,37.395688811819575,37.430751142401526,6.385841369562384,6.384720111305895,2.5543365478249536,2.553888044522358,shell
UGC05750,Sdm,spiral,5000000000.0,dwarf,11.425,2,41.711839376652556,41.711839376652556,20.140480558533802,20.140480558533802,2.9442780063622154,2.9442780063622154,0.6940881639388932,0.6940881639388932,shell
UGC05764,Im,dwarf irregular,5000000000.0,dwarf,1.81,6,57.45396290651291,57.68563042683744,11.837364602564959,12.174343954639944,5.59447257459959,5.5886636067804565,1.300044227422699,1.315011170694561,shell
