gal_id,s_obs,s_model
NGC6195,-0.07820110276477377,-0.33889571727422874
NGC6503,0.046078463176943,0.048379171158531985
NGC6674,-0.019340057423516303,-0.24007405935671158
NGC6789,0.7775174255266708,0.2581088217601742
NGC6946,-0.17427513594248345,-0.3115374797354983
NGC7331,-0.0019955561883821583,-0.3741821223564233
NGC7793,-0.23566768563629012,-0.011088426482609723
NGC7814,3.92144496338263e-15,-0.24905309922027075
PGC51017,0.027305759577932763,0.6143752507165514
UGC00128,-0.1210920530733463,0.0030901388694844693
UGC00191,0.1182763109112357,0.2691344685065207
UGC00634,-0.016140618650060896,0.12738822529306731
UGC00731,-0.007742019480542469,0.32899433432278663
UGC00891,0.266129996236048,0.4679822644027092
UGC01230,-0.05854818869302671,0.03791535154188572
UGC01281,0.21190700852949254,0.615239594922145
UGC02023,0.9270440486268107,0.5170697141938526
UGC02259,0.14394410097149152,0.27317204643349946
UGC02455,1.025065887385267,0.032059249397109746
UGC02487,0.03696995940970987,-0.3462215446246876
UGC02885,4.488430474636643e-15,-0.2589756282996868
UGC02916,-0.1272360195822278,-0.14396818737905456
UGC02953,-0.09966059617369082,-0.3433589937692585
UGC03205,-0.034635763348025435,-0.2596820930739051
UGC03546,-0.08542468227987815,-0.30826053720384583
UGC03580,0.15060336645021677,0.04501465254182627
UGC04278,0.5471739711293366,0.8732272911773982
UGC04305,-0.06307523242816634,0.47083192256228423
UGC04325,-0.09738989498018037,0.29761140323393676
UGC04483,-0.029075029975756016,0.44498276205117787
UGC04499,0.11625079832597669,0.38703707887436545
UGC05005,-0.016764685651004276,0.14817309327790543
UGC05253,-0.07968996475061477,-0.22557609137075024
UGC05414,0.42372651905355313,0.5181630257078227
UGC05716,0.16366608060510682,0.2511099252961009
UGC05721,0.041070528819171184,0.5228290001077445
UGC05750,0.06627077028092554,0.21170992777120226
UGC05764,-0.4084247448099721,0.5664565104908403
UGC05829,0.6104630227865628,0.5431918582796408
UGC05918,0.3252158919862981,0.6854595844833689
UGC05986,-0.29363416449185814,0.134449012046351
UGC05999,0.15004670713876386,0.4001798145595433
UGC06399,0.19661848626252468,0.301323932743042
UGC06446,-0.11353261935506916,0.2871251282381337
UGC06614,0.01627974066145943,-0.08755048042682051
UGC06628,3.2961294633927037e-15,0.43786850980194897
UGC06667,0.06982161489244057,0.43332979482564227
UGC06786,-0.059507141657613366,-0.2119014969768421
UGC06787,0.12917558145128782,-0.1991962905720572
UGC06818,0.6646432088380873,0.3806824857434987
UGC06917,0.3070723228948068,0.30319351392613136
UGC06923,0.15635749550027186,0.32265996957596593
UGC06930,-1.7256124510745747e-15,-0.043932522422669734
UGC06973,0.1630234031740718,-0.38021725548967966
UGC06983,0.014514805250539449,0.10143372899014251
UGC07089,0.4632747060010876,0.27236211216079836
UGC07125,-0.056023669418181175,0.09598340159699635
UGC07151,0.2436389379444809,0.48205635284911874
UGC07232,0.7981245820787326,0.11953018704074979
UGC07261,0.12084637352450128,0.4366876834444422
UGC07323,0.3296751513650637,0.3705622156334287
UGC07399,0.2623687069453833,0.4809318784116832
UGC07524,0.21859719024587707,0.41856936617782525
UGC07559,0.20618783439432428,0.6604739061531587
