galaxy,type_code,type_label,outer_points,under_points,over_points,under_pct,over_pct,mean_off,rmse,rmse_z,mean_off_z,under_pct_z,abs_mean_off_z
NGC2915,11,BCD,11,11,0,100.0,0.0,-44.26699550371484,44.362644696051504,0.31154641594349336,-1.118508303130468,0.8458631561910619,1.118508303130468
NGC2955,3,Sb,9,0,9,0.0,100.0,115.12038320758666,117.45904188865373,2.5879385704209428,2.5043493165849373,-1.415867823246191,2.5043493165849373
NGC2976,5,Sc,10,0,10,0.0,100.0,15.103018049738049,19.783888336480704,-0.45389333611862664,0.2309655869842869,-1.415867823246191,0.2309655869842869
NGC2998,5,Sc,5,0,5,0.0,100.0,27.782929885530613,32.50059198778822,-0.05786554905307083,0.5191785909438243,-1.415867823246191,0.5191785909438243
NGC3109,9,Sm,9,9,0,100.0,0.0,-29.94923854706439,30.050908118580622,-0.1341544135523803,-0.7930672593851619,0.8458631561910619,0.7930672593851619
NGC3198,5,Sc,15,13,2,86.66666666666667,13.333333333333334,-16.892511565099348,22.099295325903046,-0.3817861665784471,-0.49628928852189086,0.5442990255994283,0.49628928852189086
NGC3521,4,Sbc,14,0,14,0.0,100.0,119.06535156915928,129.5604085345758,2.964803329140133,2.594018014343916,-1.415867823246191,2.594018014343916
NGC3726,5,Sc,5,2,3,40.0,60.0,20.963797568978798,40.971594347693205,0.20594120549651257,0.3641804620291439,-0.5111754314712897,0.3641804620291439
NGC3741,10,Im,8,8,0,100.0,0.0,-27.252405540425986,27.387694622461545,-0.21709308824916124,-0.7317685412169134,0.8458631561910619,0.7317685412169134
NGC3769,3,Sb,5,4,1,80.0,20.0,-19.430007602892978,25.223922989506388,-0.28447797941365327,-0.5539662948811558,0.3935169603036114,0.5539662948811558
NGC3877,5,Sc,5,0,5,0.0,100.0,120.20958372932209,120.33235761458518,2.677420318182227,2.6200262857245367,-1.415867823246191,2.6200262857245367
NGC3893,5,Sc,4,0,4,0.0,100.0,25.601702893246753,26.80560111336104,-0.2352208366496357,0.46959954087588957,-1.415867823246191,0.46959954087588957
NGC3917,6,Scd,6,1,5,16.666666666666668,83.33333333333333,13.116095026818664,15.671233160217287,-0.5819710025547585,0.1858030448082855,-1.0389126600066487,0.1858030448082855
NGC3953,4,Sbc,3,0,3,0.0,100.0,120.66109910941934,121.08990859890073,2.7010122212519327,2.6302891807443918,-1.415867823246191,2.6302891807443918
NGC3972,4,Sbc,4,0,4,0.0,100.0,20.808058017262866,23.47172245490807,-0.3390455874384505,0.3606405191165554,-1.415867823246191,0.3606405191165554
NGC3992,4,Sbc,4,1,3,25.0,75.0,13.31360674316624,22.23301434254112,-0.3776218447777803,0.19029246443698122,-0.8504350783868777,0.19029246443698122
NGC4010,7,Sd,5,0,5,0.0,100.0,22.138275700795113,22.2326936369669,-0.37763183229674285,0.3908762210248852,-1.415867823246191,0.3908762210248852
NGC4013,3,Sb,13,8,5,61.53846153846154,38.46153846153846,-2.8603782062943313,11.42044439393713,-0.7143504708944148,-0.17734043779833678,-0.024033374361727596,0.17734043779833678
NGC4088,4,Sbc,5,0,5,0.0,100.0,95.72501434612701,98.85158716683844,2.008459067047806,2.0634947116905056,-1.415867823246191,2.0634947116905056
NGC4100,4,Sbc,9,0,9,0.0,100.0,17.694206537845602,18.869168274715836,-0.48237985053134264,0.2898630168445451,-1.415867823246191,0.2898630168445451
NGC4157,3,Sb,6,0,6,0.0,100.0,28.44084645512599,31.815011722277294,-0.07921611621661338,0.5341329623411539,-1.415867823246191,0.5341329623411539
NGC4183,6,Scd,8,8,0,100.0,0.0,-12.864551252218256,14.635042229895623,-0.6142404028934615,-0.40473419282096756,0.8458631561910619,0.40473419282096756
NGC4214,10,Im,5,5,0,100.0,0.0,-28.202971206105907,28.380062652215823,-0.18618843516024663,-0.7533747944396736,0.8458631561910619,0.7533747944396736
NGC4217,3,Sb,7,0,7,0.0,100.0,64.65011314930733,65.73964639669991,0.9772760664676652,1.3571656190543961,-1.415867823246191,1.3571656190543961
NGC4559,6,Scd,11,0,11,0.0,100.0,5.07837339882958,5.546068016197667,-0.8972922411091463,0.003106514627838885,-1.415867823246191,0.003106514627838885
NGC5005,4,Sbc,7,0,7,0.0,100.0,168.30208202208516,169.3077527604709,4.202628256663363,3.7131634920692993,-1.415867823246191,3.7131634920692993
NGC5033,5,Sc,8,8,0,100.0,0.0,-12.793385195040411,15.94076442231583,-0.5735771709297763,-0.4031165961543027,0.8458631561910619,0.4031165961543027
NGC5055,4,Sbc,10,1,9,10.0,90.0,17.810934427249133,24.059284455404818,-0.3207475374719709,0.29251622895568,-1.1896947253024657,0.29251622895568
NGC5371,4,Sbc,7,0,7,0.0,100.0,107.0145965651445,111.00707804567686,2.3870093805126458,2.320105676098511,-1.415867823246191,2.320105676098511
NGC5585,7,Sd,9,8,1,88.88888888888889,11.11111111111111,-13.127870237264686,14.9307675613492,-0.6050308269053676,-0.410719404442517,0.5945597140313671,0.410719404442517
NGC5907,5,Sc,7,3,4,42.857142857142854,57.142857142857146,8.122282130801816,16.78389151737733,-0.5473202283424663,0.07229422592910986,-0.4465545463445112,0.07229422592910986
NGC5985,3,Sb,12,2,10,16.666666666666668,83.33333333333333,12.672116167965067,17.50231421101211,-0.5249468714302288,0.17571145408889902,-1.0389126600066487,0.17571145408889902
NGC6015,6,Scd,15,15,0,100.0,0.0,-24.943243951226503,26.015283354942618,-0.2598331734255168,-0.6792815518064257,0.8458631561910619,0.6792815518064257
NGC6195,3,Sb,8,0,8,0.0,100.0,139.95630014578495,144.3901419617493,3.4266357876901727,3.0688669819713916,-1.415867823246191,3.0688669819713916
NGC6503,6,Scd,11,11,0,100.0,0.0,-27.562603745737785,28.10219190530329,-0.1948419777769065,-0.738819312368445,0.8458631561910619,0.738819312368445
NGC6674,3,Sb,6,6,0,100.0,0.0,-39.93887459168268,43.817468738160976,0.29456836612139725,-1.020130589964065,0.8458631561910619,1.020130589964065
NGC6946,6,Scd,20,0,20,0.0,100.0,46.897718294330545,48.017664780704095,0.42537225914117593,0.9536556329529122,-1.415867823246191,0.9536556329529122
NGC7331,3,Sb,13,0,13,0.0,100.0,62.9206525114994,66.88415708406886,1.012918796472229,1.3178551686263906,-1.415867823246191,1.3178551686263906
NGC7793,7,Sd,16,0,16,0.0,100.0,25.906911133006595,27.890290089637425,-0.2014410941386924,0.47653689065825017,-1.415867823246191,0.47653689065825017
NGC7814,2,Sab,7,4,3,57.142857142857146,42.857142857142854,-0.00018109621777690727,15.015641073608192,-0.6023876679420026,-0.11232847149391764,-0.1234501207106178,0.11232847149391764
UGC00128,8,Sdm,8,8,0,100.0,0.0,-52.03045897944952,52.46443556033527,0.5638550640985787,-1.2949709756196877,0.8458631561910619,1.2949709756196877
UGC00191,9,Sm,4,4,0,100.0,0.0,-10.822037894372038,11.391759959905395,-0.715243771017175,-0.3583080884350813,0.8458631561910619,0.3583080884350813
UGC00731,10,Im,5,5,0,100.0,0.0,-19.721321429140367,19.792051439801586,-0.45363911805768886,-0.5605878261697808,0.8458631561910619,0.5605878261697808
UGC01230,9,Sm,4,4,0,100.0,0.0,-23.326407225993073,23.73878690307117,-0.3307285781481505,-0.6425310305467878,0.8458631561910619,0.6425310305467878
UGC01281,8,Sdm,9,9,0,100.0,0.0,-14.86245874947415,15.076283787749531,-0.6004991125001548,-0.4501464108927039,0.8458631561910619,0.4501464108927039
UGC02259,8,Sdm,3,3,0,100.0,0.0,-23.820105079413405,24.068533997706286,-0.32045948516930967,-0.653752728554261,0.8458631561910619,0.653752728554261
UGC02455,10,Im,3,0,3,0.0,100.0,55.96849598370676,56.91105550035124,0.7023331715588431,1.1598334139943103,-1.415867823246191,1.1598334139943103
UGC02487,0,S0,6,6,0,100.0,0.0,-55.624303233640546,58.93061595911004,0.7652269906850845,-1.376658660966151,0.8458631561910619,1.376658660966151
UGC02885,5,Sc,7,5,2,71.42857142857143,28.571428571428573,-10.703463840817351,17.57860609781291,-0.5225709642824933,-0.3556129132154722,0.19965430492327543,0.3556129132154722
UGC02916,2,Sab,15,0,15,0.0,100.0,62.22241693252901,66.24561063826889,0.9930329720634217,1.3019843505724018,-1.415867823246191,1.3019843505724018
UGC02953,2,Sab,40,19,21,47.5,52.5,18.16058840762702,62.1633848295391,0.8659029470457409,0.30046382554279943,-0.3415456080134958,0.30046382554279943
UGC03205,2,Sab,17,3,14,17.647058823529413,82.3529411764706,30.251018128615396,45.03254891786447,0.33240879457438827,0.5752779657493133,-1.016738826874911,0.5752779657493133
UGC03546,1,Sa,11,1,10,9.090909090909092,90.9090909090909,47.36580962761313,55.61202755038524,0.6618784139056328,0.9642952975688742,-1.2102559160246225,0.9642952975688742
UGC03580,1,Sa,16,8,8,50.0,50.0,-3.5949591813476305,22.591679349468414,-0.366452180619045,-0.19403738271509963,-0.2850023335275645,0.19403738271509963
UGC04278,7,Sd,9,9,0,100.0,0.0,-21.086752428793577,21.44812120704304,-0.40206524615422823,-0.5916239228876352,0.8458631561910619,0.5916239228876352
UGC04305,10,Im,8,0,8,0.0,100.0,23.70842371956298,23.791332068555676,-0.3290921992422315,0.4265655131122948,-1.415867823246191,0.4265655131122948
UGC04325,9,Sm,3,3,0,100.0,0.0,-11.44061663411972,11.502627877719616,-0.7117910856867262,-0.37236831527868863,0.8458631561910619,0.37236831527868863
UGC04483,10,Im,3,3,0,100.0,0.0,-9.561575919385556,9.578392119601384,-0.771716271487657,-0.32965792612384476,0.8458631561910619,0.32965792612384476
UGC04499,8,Sdm,4,4,0,100.0,0.0,-6.398623993019907,6.507735290852807,-0.867343681079922,-0.25776437608320535,0.8458631561910619,0.25776437608320535
UGC05005,10,Im,4,4,0,100.0,0.0,-29.308566218671903,29.381624149560476,-0.15499747606585232,-0.7785048476972095,0.8458631561910619,0.7785048476972095
UGC05253,2,Sab,25,4,21,16.0,84.0,61.477118041098564,86.46173534867343,1.6226102077710125,1.2850437885930563,-1.0539908665362305,1.2850437885930563
UGC05716,9,Sm,5,5,0,100.0,0.0,-25.387899523499748,25.45677139360251,-0.2772265374736304,-0.6893885241475476,0.8458631561910619,0.6893885241475476
UGC05721,7,Sd,8,8,0,100.0,0.0,-32.161275421679164,32.18486969123358,-0.06769787713590172,-0.8433466146960059,0.8458631561910619,0.8433466146960059
UGC05750,8,Sdm,4,4,0,100.0,0.0,-8.36155877004826,9.07077513910906,-0.7875246472250756,-0.3023816680636605,0.8458631561910619,0.3023816680636605
UGC05764,10,Im,4,4,0,100.0,0.0,-18.903785182894943,19.054983591507433,-0.4765931285372121,-0.5420053170460909,0.8458631561910619,0.5420053170460909
UGC05829,10,Im,4,4,0,100.0,0.0,-8.214701827308296,8.347238625927925,-0.8100572603953756,-0.2990436258779159,0.8458631561910619,0.2990436258779159
UGC05918,10,Im,3,3,0,100.0,0.0,-10.749170765991417,10.757372634023845,-0.7350000707391924,-0.3566518266067299,0.8458631561910619,0.3566518266067299
UGC05986,9,Sm,6,6,0,100.0,0.0,-22.91975375048324,23.295302905844526,-0.34453970332936806,-0.6332878416930264,0.8458631561910619,0.6332878416930264
UGC06399,9,Sm,4,4,0,100.0,0.0,-13.677467514098122,13.86493310986639,-0.6382233955751241,-0.42321169020723465,0.8458631561910619,0.42321169020723465
UGC06446,7,Sd,6,6,0,100.0,0.0,-23.529014318691893,23.611164523493173,-0.334703036462992,-0.64713626752055,0.8458631561910619,0.64713626752055
UGC06614,1,Sa,5,4,1,80.0,20.0,-12.2692933973896,26.767911974684136,-0.23639456425986322,-0.3912040471312792,0.3935169603036114,0.3912040471312792
UGC06667,6,Scd,4,4,0,100.0,0.0,-36.38390646104684,36.39803932310601,0.06351004368960918,-0.9393265546379836,0.8458631561910619,0.9393265546379836
UGC06786,0,S0,16,10,6,62.5,37.5,-15.26439657939108,39.423373113020666,0.1577259882305015,-0.45928241363984723,-0.0022859610979078944,0.45928241363984723
UGC06787,2,Sab,25,15,10,60.0,40.0,-16.153657756789286,45.22755960086315,0.3384818817013476,-0.4794952225742961,-0.058829235583839214,0.4794952225742961
UGC06818,9,Sm,3,3,0,100.0,0.0,-10.37325598570222,10.962146912224291,-0.7286229225042934,-0.3481073249206764,0.8458631561910619,0.3481073249206764
UGC06917,9,Sm,4,4,0,100.0,0.0,-6.456383046414899,6.952069185287136,-0.8535060881190326,-0.25907723302577806,0.8458631561910619,0.25907723302577806
UGC06930,7,Sd,4,3,1,75.0,25.0,-5.540878611130953,7.946604741019746,-0.8225339332198893,-0.23826791772071043,0.28043041133174873,0.23826791772071043
UGC06973,2,Sab,4,0,4,0.0,100.0,99.55842835497675,100.65154008647553,2.064513795626212,2.1506277912591223,-1.415867823246191,2.1506277912591223
UGC06983,6,Scd,6,6,0,100.0,0.0,-21.26161730945596,21.464104230346305,-0.4015674975612776,-0.5955985824274964,0.8458631561910619,0.5955985824274964
UGC07089,8,Sdm,5,2,3,40.0,60.0,3.3616372321378067,5.246642285914167,-0.9066170561403175,-0.03591470996865615,-0.5111754314712897,0.03591470996865615
UGC07125,9,Sm,5,1,4,20.0,80.0,4.322915588597465,5.480929047714424,-0.8993208203893985,-0.014064958460568643,-0.9635216273587404,0.014064958460568643
UGC07151,6,Scd,4,0,4,0.0,100.0,5.094811077274191,5.104987777808316,-0.9110285076383834,0.00348014125426929,-1.415867823246191,0.00348014125426929
UGC07323,8,Sdm,4,0,4,0.0,100.0,14.725862073055204,14.803713041258717,-0.6089876007524122,0.2223928730404709,-1.415867823246191,0.2223928730404709
UGC07399,8,Sdm,4,4,0,100.0,0.0,-42.80122830936528,42.92641864020423,0.2668189895428157,-1.0851915757226054,0.8458631561910619,1.0851915757226054
UGC07524,9,Sm,11,11,0,100.0,0.0,-8.881002740882955,9.210540573960884,-0.7831720258704896,-0.3141885724934168,0.8458631561910619,0.3141885724934168
UGC07577,10,Im,4,1,3,25.0,75.0,0.7201741667956258,1.0421914985217682,-1.0375534518300797,-0.0959548754500475,-0.8504350783868777,0.0959548754500475
UGC07603,7,Sd,5,5,0,100.0,0.0,-20.371812979799422,20.61231483652609,-0.4280942043187986,-0.5753734277018457,0.8458631561910619,0.5753734277018457
UGC07608,10,Im,3,3,0,100.0,0.0,-26.505495880109674,26.51139829941348,-0.24438299789447465,-0.7147913666376309,0.8458631561910619,0.7147913666376309
UGC08286,6,Scd,6,6,0,100.0,0.0,-26.46583136968346,26.550326798675655,-0.24317067370738094,-0.7138897966702236,0.8458631561910619,0.7138897966702236
UGC08490,9,Sm,11,11,0,100.0,0.0,-30.849310162151582,30.867987883374784,-0.10870864553102627,-0.8135257883814542,0.8458631561910619,0.8135257883814542
UGC08550,7,Sd,4,4,0,100.0,0.0,-19.388078587301944,19.427070073574143,-0.46500548836485217,-0.5530132529599615,0.8458631561910619,0.5530132529599615
UGC08699,2,Sab,14,4,10,28.571428571428573,71.42857142857143,21.431572213962504,38.4992051174695,0.1289452431419496,0.37481292835484004,-0.7696589719784045,0.37481292835484004
UGC08837,10,Im,3,0,3,0.0,100.0,3.0915476295340554,3.27228763050166,-0.9681030612014797,-0.042053816983969185,-1.415867823246191,0.042053816983969185
UGC09037,6,Scd,8,0,8,0.0,100.0,34.776500397334246,35.153562034240224,0.024754120749454277,0.6781416808858276,-1.415867823246191,0.6781416808858276
UGC09133,2,Sab,24,18,6,75.0,25.0,-14.102377207292852,30.09393483462972,-0.1328144613439422,-0.43286984088470926,0.28043041133174873,0.43286984088470926
UGC11455,6,Scd,13,0,13,0.0,100.0,111.20960319917961,119.92069345352733,2.664600136853147,2.4154577163400335,-1.415867823246191,2.4154577163400335
UGC11557,8,Sdm,5,0,5,0.0,100.0,54.10640680987876,54.60321765737766,0.6304617228784299,1.1175083315032337,-1.415867823246191,1.1175083315032337
UGC11820,9,Sm,4,4,0,100.0,0.0,-20.199281567760984,20.828276209707905,-0.42136866387545896,-0.5714518076476263,0.8458631561910619,0.5714518076476263
UGC11914,2,Sab,23,0,23,0.0,100.0,146.52350087092438,147.9387766344301,3.5371485412354975,3.218138733471656,-1.415867823246191,3.218138733471656
UGC12506,6,Scd,11,11,0,100.0,0.0,-20.524032642925253,20.712394499313035,-0.42497749039115224,-0.5788333639332133,0.8458631561910619,0.5788333639332133
UGC12632,9,Sm,6,6,0,100.0,0.0,-13.950781688211285,13.972354436762696,-0.6348780451178917,-0.429424091378946,0.8458631561910619,0.429424091378946
UGC12732,9,Sm,6,6,0,100.0,0.0,-25.57619660952479,25.590051487609056,-0.273075884746587,-0.6936684962406432,0.8458631561910619,0.6936684962406432
UGCA442,9,Sm,3,3,0,100.0,0.0,-24.470240615296124,24.651734622708947,-0.30229725859958806,-0.6685302379095451,0.8458631561910619,0.6685302379095451
UGCA444,10,Im,13,13,0,100.0,0.0,-11.617243970799604,11.84632990055139,-0.7010874037228844,-0.37638303525033573,0.8458631561910619,0.37638303525033573
