gal_id,vflat_kms,M_bary_Msun
UGC06930_rotmod,120.77546998113705,
UGC06973_rotmod,197.94679286725335,
UGC06983_rotmod,113.84281103299894,
UGC07089_rotmod,98.22602581474429,
UGC07125_rotmod,112.86195169751662,
UGC07151_rotmod,81.09537574860936,
UGC07232_rotmod,31.76773925169679,
UGC07261_rotmod,82.78878671733696,
UGC07323_rotmod,91.50738325786857,
UGC07399_rotmod,75.85307536639263,
UGC07524_rotmod,98.3217882843099,
UGC07559_rotmod,39.917261346236785,
UGC07577_rotmod,29.332518504857255,
UGC07603_rotmod,55.71488112693996,
UGC07608_rotmod,61.86659523852053,
UGC07690_rotmod,63.09507995756668,
UGC07866_rotmod,37.96093898247421,
UGC08286_rotmod,84.45177516789829,
UGC08490_rotmod,89.04350500762797,
UGC08550_rotmod,64.65526573257443,
