name,hubble_type,type_group,B_T,R_d_kpc,Sigma0,shear,bar_class,g_bar,v2p3_ape,per_galaxy_ape,delta_ape,v2p3_params,per_galaxy_params
NGC0801,Sc,intermediate,0.15,8.72,779.47,1.102687874743154,S,0.7316,49.32120132446289,19.464622497558594,29.856578826904297,"{'eta': 0.46701525863958504, 'ring_amp': 1.2750884016749997, 'M_max': 1.6033107921748597, 'lambda_ring': 10.055138956858045, 'kappa': 0.80575, 'R_ring': 25.8, 'sigma_ring': 0.62757882596094, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': 17.44, 'w_shear': 3.4880000000000004, 'gamma_shear_taper': 2.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.010000000272472831, 'ring_amp': 1.1618818792007164e-08, 'M_max': 0.5000000650376776, 'bulge_gate_power': 33.0922967608887, 'lambda_hat': 10.380359920262004}"
NGC0891,Sb,early,0.4,2.55,2533.96,1.3093931918888502,SB,0.45,48.09339141845703,25.116966247558594,22.976425170898438,"{'eta': 0.13152209410629367, 'ring_amp': 0.3198816, 'M_max': 1.3236962535596775, 'lambda_ring': 8.700570097766262, 'kappa': 0.552, 'R_ring': 18.8, 'sigma_ring': 0.6640906482296067, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 3.8249999999999997, 'w_bar': 0.51, 'gamma_bar_taper': 2.5, 'R_shear': 5.1, 'w_shear': 1.02, 'gamma_shear_taper': 2.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.010000000064146844, 'ring_amp': 0.009104364858367619, 'M_max': 4.473376649256515, 'bulge_gate_power': 59.58656250156273, 'lambda_hat': 6.029924453297062}"
NGC1003,Scd,late,0.08,1.61,672.665,0.7625723990775997,S,0.7316,21.197059631347656,4.835995197296143,16.361064434051514,"{'eta': 0.6292371542650572, 'ring_amp': 1.64910942547968, 'M_max': 1.4922465218723364, 'lambda_ring': 9.082100630521966, 'kappa': 0.8924799999999999, 'R_ring': 27.76, 'sigma_ring': 0.538030589778975, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.2281643003044143, 'ring_amp': 0.04410720790028988, 'M_max': 4.941830859218959, 'bulge_gate_power': 15.25789443788645, 'lambda_hat': 24.530271651437047}"
NGC1090,Sbc,intermediate,0.3,3.53,1027.545,0.8836798650649641,SB,0.45,34.28252029418945,12.617903709411621,21.664616584777832,"{'eta': 0.2244197451252707, 'ring_amp': 0.45065834999999993, 'M_max': 1.3305339632981859, 'lambda_ring': 8.55796696199803, 'kappa': 0.6429999999999999, 'R_ring': 21.599999999999998, 'sigma_ring': 0.5747890571431982, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 5.295, 'w_bar': 0.706, 'gamma_bar_taper': 2.5, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.02529918171471026, 'ring_amp': 1.9559881551333738e-08, 'M_max': 0.826403587399198, 'bulge_gate_power': 20.680318212950823, 'lambda_hat': 10.304199834721025}"
NGC1705,BCD,late,0.08,0.39,293.63,0.8542299719275843,unknown,0.51875,46.85866928100586,7.575066566467285,39.283602714538574,"{'eta': 0.5697113509550119, 'ring_amp': 1.16932137024, 'M_max': 1.5659877209821305, 'lambda_ring': 9.516503425678218, 'kappa': 0.8924799999999999, 'R_ring': 27.76, 'sigma_ring': 0.5663737069507224, 'g_bar': 0.51875, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9556467266382433, 'ring_amp': 0.995577927146168, 'M_max': 4.9999995211030885, 'bulge_gate_power': 24.863194955427446, 'lambda_hat': 47.97515485004313}"
NGC2366,Im,late,0.0,0.65,56.99,0.6817200725187357,S,0.7316,22.804197311401367,5.590329647064209,17.213867664337158,"{'eta': 0.5725799150586595, 'ring_amp': 2.1948, 'M_max': 1.5185480114485432, 'lambda_ring': 9.042273331090035, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5103396761618055, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.0848951588366735, 'ring_amp': 0.8156618065434253, 'M_max': 1.855852402970004, 'bulge_gate_power': 38.94541680402615, 'lambda_hat': 37.96057972952357}"
NGC2403,Scd,late,0.08,1.39,704.37,1.0117107563216612,S,0.7316,10.073742866516113,4.946294784545898,5.127448081970215,"{'eta': 0.6319280756444439, 'ring_amp': 1.64910942547968, 'M_max': 1.6881722044065035, 'lambda_ring': 10.336163289616294, 'kappa': 0.8924799999999999, 'R_ring': 27.76, 'sigma_ring': 0.6076412880647957, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': 2.78, 'w_shear': 0.5559999999999999, 'gamma_shear_taper': 2.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.3106262491716379, 'ring_amp': 3.1781924703758945e-06, 'M_max': 3.4555164126562783, 'bulge_gate_power': 43.053062572227134, 'lambda_hat': 5.624838748036028}"
NGC2683,Sb,early,0.4,2.18,5102.7,1.1112383006459376,SB,0.45,19.315011978149414,6.172699451446533,13.14231252670288,"{'eta': 0.1343101070371627, 'ring_amp': 0.3198816, 'M_max': 1.3011982492567395, 'lambda_ring': 8.518413468501734, 'kappa': 0.552, 'R_ring': 18.8, 'sigma_ring': 0.6293197299631068, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 3.2700000000000005, 'w_bar': 0.43600000000000005, 'gamma_bar_taper': 2.5, 'R_shear': 4.36, 'w_shear': 0.8720000000000001, 'gamma_shear_taper': 2.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.029138926471208387, 'ring_amp': 2.936504703093716e-05, 'M_max': 1.188054741835371, 'bulge_gate_power': 23.329667153042948, 'lambda_hat': 7.110733377181596}"
NGC2841,Sb,early,0.4,3.64,2375.745,0.906009207904461,SB,0.45,10.747614860534668,2.7839972972869873,7.963617563247681,"{'eta': 0.1311895004652598, 'ring_amp': 0.3198816, 'M_max': 1.2736537912376977, 'lambda_ring': 8.321891446905822, 'kappa': 0.552, 'R_ring': 18.8, 'sigma_ring': 0.5809498498186145, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 5.46, 'w_bar': 0.7280000000000001, 'gamma_bar_taper': 2.5, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.03499559717321167, 'ring_amp': 5.36738652028321, 'M_max': 4.221275192925453, 'bulge_gate_power': 6.827190065456678, 'lambda_hat': 5.081792306822073}"
NGC2903,Sbc,intermediate,0.3,2.33,596.76,1.3378731664714505,SB,0.45,47.29124069213867,32.85041809082031,14.44082260131836,"{'eta': 0.21419278085508728, 'ring_amp': 0.45065834999999993, 'M_max': 1.4345016961677792, 'lambda_ring': 9.343513951071126, 'kappa': 0.6429999999999999, 'R_ring': 21.599999999999998, 'sigma_ring': 0.6683075875734181, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 3.495, 'w_bar': 0.466, 'gamma_bar_taper': 2.5, 'R_shear': 4.66, 'w_shear': 0.932, 'gamma_shear_taper': 2.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.044637319916398056, 'ring_amp': 1.2077815097421651e-08, 'M_max': 1.3826253278126097, 'bulge_gate_power': 39.163957546882706, 'lambda_hat': 21.58345573563682}"
