Galaxy,rmse,median_ape,n_points
NGC7793,13.346238398888863,0.1441699066004681,46
NGC7814,46.44562161078283,0.1427679138967703,18
UGC00128,41.801803304061465,0.33032768328286144,22
UGC00191,14.896447084046912,0.2575494436367649,9
UGC00731,24.597436437181827,0.4591002201446257,12
UGC01230,32.52712480097505,0.358806807231403,11
UGC01281,10.32199224258934,0.27590602946469966,25
UGC02259,20.295440630026604,0.21445697895765167,8
UGC02455,68.49498160956686,1.8892320373720932,8
UGC02487,18.944241981096393,0.0455791185309465,17
UGC02885,48.15975104734927,0.1212600588951046,19
UGC02916,46.62308280144276,0.1679848612736005,43
UGC02953,43.61829959635803,0.11122631435924442,115
UGC03205,15.138808249158952,0.048258217300967,48
UGC03546,75.53839842712763,0.3533198590421216,30
UGC03580,33.41808691835163,0.26568849340251827,47
UGC04278,10.12508506830058,0.14006660902018667,25
UGC04305,22.07413654859262,0.6724167925055946,22
UGC04325,17.69270973066196,0.15309619683499737,8
UGC04483,1.7203400939067943,0.07340953738848485,8
UGC04499,5.937840890481789,0.06960699878407024,9
UGC05005,18.27695644035427,0.22158288930052658,11
UGC05253,36.49147703083502,0.15845216010710295,73
UGC05716,20.535231934179055,0.3483632062523655,12
UGC05721,27.56537958270407,0.36394105147929334,23
UGC05750,13.705886569959741,0.26516167309042343,11
UGC05764,19.07166329252509,0.4394404066472951,10
UGC05829,9.105361671777212,0.1936759242341035,11
UGC05918,9.913681271911287,0.2716081982249168,8
UGC05986,9.455895462911434,0.09555505490462542,15
UGC06399,7.570786284582339,0.10182963644382391,9
UGC06446,22.132263807244957,0.32034824797198536,17
UGC06614,31.296143347807945,0.16921973712306088,13
UGC06667,31.962465300075394,0.5200161497330512,9
UGC06786,26.70940972311562,0.04421101843746395,45
UGC06787,45.292949790341304,0.15018908016580615,71
UGC06818,10.004515337842035,0.15053555660617282,8
UGC06917,9.292010337212556,0.07750624794770103,11
UGC06930,11.397526989189068,0.11730131476757301,10
UGC06973,192.3710913013267,1.0397489769738422,9
UGC06983,16.147722331205586,0.17592869506857509,17
UGC07089,14.826887763902587,0.24055885964922505,12
UGC07125,9.874183228274893,0.059266262924659634,13
UGC07151,12.42893363648588,0.1043689785966288,11
UGC07323,21.867478166356676,0.2573550229112167,10
UGC07399,31.895784881943758,0.3529456214742436,10
UGC07524,12.2157700812416,0.2098528227313747,31
UGC07577,7.8436104919836716,0.7130853208884297,9
UGC07603,11.546736870895394,0.21686974132321807,12
UGC07608,18.57915040972604,0.37759776851327975,8
