name,hubble_type,type_group,param_source,ape,rms,chi2_reduced,n_points,elapsed,params_used
NGC0247,Sd,late,class_late,19.79823973955621,17.639600251018347,45.768147747234416,26,0.025116443634033203,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC0289,Sbc,intermediate,class_intermediate,32.312052693683,77.24691311586648,34.81805432741789,28,0.0265200138092041,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC0300,Sd,late,class_late,19.02671922175127,16.30938174758658,29.253429384464415,25,0.02448892593383789,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC0801,Sc,intermediate,class_intermediate,73.6484450535319,238.3650377068034,1629.2248195892578,13,0.0172727108001709,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC0891,Sb,early,class_early,42.847592896333076,124.4723014128548,605.4513244485926,18,0.01908135414123535,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC1003,Scd,late,class_late,37.43014816170454,39.87365743823345,197.6002698458444,36,0.03255271911621094,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC1090,Sbc,intermediate,class_intermediate,111.19251552129772,118.67002720785186,504.97252498140506,24,0.02786087989807129,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC1705,BCD,late,class_late,31.357156869823704,24.378154780051734,30.178675490739526,14,0.01602792739868164,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC2366,Im,late,class_late,56.675866234259885,15.170896264788636,50.22642174949444,26,0.024704694747924805,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC2403,Scd,late,class_late,50.9459088225492,52.876725647423534,573.7618592502292,73,0.05020737648010254,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
