r_kpc,kT_keV,kT_err_keV
510.58000000000004,4.7977,0.59651
503.53999999999996,4.7864,0.59496
496.5,4.775,0.59341
489.455,4.7637,0.59186
482.41,4.7523,0.59031
475.36999999999995,4.7409,0.58876
468.33000000000004,4.7296,0.58721
461.285,4.7182,0.58566
454.23999999999995,4.7068,0.58411
447.20000000000005,4.6955,0.58256
440.15999999999997,4.6841,0.58101
433.115,4.6727,0.57946
426.07,4.6614,0.57791
419.03000000000003,4.65,0.57636
411.98999999999995,4.6386,0.57481
404.945,4.6273,0.57326
397.90000000000003,4.6159,0.57171
390.86,4.6045,0.57017
383.82000000000005,4.5932,0.56861
376.77500000000003,4.5818,0.56707
369.73,4.5704,0.56551
362.68999999999994,4.5591,0.56397
355.65000000000003,4.5477,0.56242
348.605,4.5363,0.56087
341.56,4.5548,0.56474
334.52000000000004,4.6109,0.57547
327.48,4.667,0.5862
320.435,4.7232,0.59693
313.39,4.7793,0.60767
306.35,4.8354,0.6184
299.30999999999995,4.8916,0.62912
292.265,4.9477,0.63986
285.22,5.0039,0.65059
278.18,5.06,0.66132
271.14000000000004,5.1161,0.67205
264.095,5.1723,0.68278
257.05,5.2426,0.69376
250.00999999999996,5.3419,0.70522
242.97,5.4412,0.71667
235.92499999999998,5.5405,0.72814
228.88,5.6399,0.7396
221.83999999999997,5.7392,0.75106
214.79999999999998,5.8385,0.76252
207.755,5.9379,0.77398
200.71,6.0372,0.78545
193.67000000000002,6.1365,0.79691
186.63000000000002,6.2358,0.80836
179.585,6.2076,0.79895
172.54,6.1582,0.78606
165.5,6.1089,0.77318
158.45999999999998,6.0595,0.7603
151.415,6.0101,0.74741
144.37,5.9607,0.73452
137.33,5.9113,0.72164
130.29000000000002,5.8619,0.70876
123.24499999999999,5.8125,0.69587
116.2,5.7572,0.6804
109.16000000000001,5.6968,0.66277
102.11999999999999,5.6365,0.64514
95.07499999999999,5.5762,0.6275
88.03,5.5158,0.60986
80.99000000000001,5.4555,0.59223
73.95,5.3952,0.57461
66.905,5.3349,0.55696
59.86000000000001,5.2745,0.53932
52.82,5.2142,0.5217
45.78,5.1539,0.50407
38.735,5.14,0.5
31.689999999999998,5.14,0.5
24.65,5.14,0.5
17.61,5.14,0.5
10.565,5.14,0.5
219.61999999999998,2.8833,0.26945
213.065,2.8938,0.26771
206.51,2.9042,0.26596
199.95000000000002,2.9147,0.26422
193.395,2.9252,0.26247
186.84,2.9356,0.26073
180.285,2.9461,0.25899
173.73,2.9565,0.25724
167.17499999999998,2.967,0.2555
160.61999999999998,2.9775,0.25376
154.06,2.9879,0.25201
147.505,2.9984,0.25027
140.95,2.9764,0.24543
134.39499999999998,2.9485,0.24003
127.84,2.9206,0.23463
121.28,2.8927,0.22922
114.725,2.8648,0.22382
108.16999999999999,2.8369,0.21842
101.615,2.809,0.21302
95.06,2.7811,0.20762
88.505,2.7532,0.20222
81.94999999999999,2.7253,0.19682
75.39,2.6973,0.19142
68.835,2.6268,0.18151
62.279999999999994,2.541,0.16998
55.724999999999994,2.4552,0.15846
49.17,2.3694,0.14693
42.60999999999999,2.2835,0.1354
36.055,2.1977,0.12388
29.5,2.112,0.11235
22.945,2.0262,0.10083
16.39,2.02,0.1
9.835,2.02,0.1
3.28,2.02,0.1
391.15,7.4904,1.241
375.81,7.3839,1.1991
360.47,7.2964,1.162
345.135,7.2521,1.1356
329.79999999999995,7.2078,1.1093
314.46000000000004,7.1635,1.083
299.12,7.1191,1.0567
283.78000000000003,7.0748,1.0303
268.44,7.0304,1.004
253.1,6.9767,0.97619
237.76,6.8249,0.93283
222.42000000000002,6.6732,0.88947
207.07999999999998,6.5214,0.84611
191.74,6.3696,0.80275
176.4,6.2179,0.75939
161.05999999999997,6.0661,0.71603
145.72000000000003,5.7151,0.64401
130.38,5.2472,0.55516
115.045,4.7794,0.46634
99.71,4.3116,0.37752
84.37,3.8437,0.28867
69.03,3.5362,0.2354
53.690000000000005,3.3524,0.20956
38.349999999999994,3.1686,0.18371
23.009999999999998,3.0,0.16
7.67,3.0,0.16
480.495,6.3678,0.92381
451.37,6.2569,0.89716
422.25,6.146,0.87052
393.13,6.0351,0.84388
364.01,5.9242,0.81723
334.89000000000004,5.8133,0.79059
305.77,5.7024,0.76394
276.65000000000003,5.5915,0.7373
247.53,5.4806,0.71066
218.41,5.3697,0.68401
189.29000000000002,5.2588,0.65737
160.165,5.1479,0.63072
131.04,5.037,0.60407
101.92,4.6442,0.53485
72.8,4.2005,0.45796
43.68,3.7569,0.38106
14.56,3.52,0.34
265.16499999999996,3.0306,0.39763
256.75000000000006,3.0526,0.39175
248.32999999999998,3.0745,0.38586
239.91000000000003,3.0965,0.37997
231.49,3.1184,0.37408
223.07500000000002,3.1404,0.36819
214.66000000000003,3.1623,0.3623
206.23999999999998,3.1843,0.35641
197.82,3.2062,0.35053
189.4,3.2282,0.34464
180.985,3.2501,0.33875
172.57,3.2721,0.33286
164.15,3.294,0.32697
155.73,3.316,0.32108
147.31,3.3182,0.31262
138.89499999999998,3.3159,0.30357
130.48,3.3136,0.29453
122.06,3.3114,0.28548
113.63999999999999,3.3091,0.27643
105.22000000000001,3.3068,0.26738
96.805,3.3046,0.25834
88.39,3.3023,0.2493
79.97,3.3001,0.24025
71.55,3.2978,0.2312
63.135,3.2955,0.22216
54.720000000000006,3.2933,0.21312
46.300000000000004,3.291,0.20407
37.879999999999995,3.29,0.2
29.46,3.29,0.2
21.045,3.29,0.2
12.63,3.29,0.2
4.21,3.29,0.2
670.27,6.7745,1.8439
651.39,6.7005,1.788
632.51,6.6266,1.732
613.63,6.5526,1.676
594.75,6.4787,1.6201
575.87,6.4047,1.5641
556.99,6.3308,1.5082
538.11,6.2569,1.4522
519.23,6.1829,1.3962
500.345,6.1089,1.3403
481.46,6.035,1.2843
462.58,5.961,1.2284
443.7,5.8871,1.1724
424.82,5.8132,1.1164
405.94,5.7392,1.0605
387.06,5.6653,1.0045
368.18,5.5913,0.94856
349.3,5.5094,0.89345
330.42,5.4261,0.83849
311.53999999999996,5.3428,0.78354
292.655,5.2594,0.72856
273.77000000000004,5.1761,0.67359
254.89000000000001,5.1447,0.63609
236.01,5.3125,0.66553
217.13,5.4803,0.69497
198.25,5.6482,0.72442
179.37,5.6457,0.67861
160.48999999999998,5.6035,0.6152
141.61,5.3328,0.5474
122.73,4.7771,0.47412
103.845,4.7565,0.44003
84.96000000000001,4.6529,0.37116
66.08,4.4037,0.3137
47.2,4.0569,0.30073
28.32,3.0868,0.17946
9.440000000000001,2.91,0.15
469.065,7.848,1.0652
460.455,7.9224,1.167
451.84999999999997,7.9968,1.2687
443.245,8.0711,1.3704
434.635,8.1455,1.4722
426.03000000000003,8.2198,1.5739
417.425,8.2941,1.6756
408.815,8.3685,1.7774
400.21,8.4428,1.8791
391.60499999999996,8.5172,1.9809
382.99499999999995,8.5915,2.0826
374.39,8.6659,2.1844
365.785,8.7402,2.2861
357.175,8.8146,2.3878
348.57000000000005,8.8889,2.4896
339.96500000000003,8.9633,2.5913
331.355,9.0376,2.6931
322.75,8.7964,2.5286
314.145,8.4922,2.311
305.535,8.1878,2.0933
296.93,7.8836,1.8757
288.325,7.7112,1.7683
279.715,7.8055,1.8842
271.10999999999996,7.8998,2.0
262.505,7.9941,2.1159
253.89499999999998,8.3166,2.2098
245.29000000000002,8.7794,2.2903
236.685,9.2422,2.3708
228.075,9.3632,2.3063
219.47,9.2897,2.1595
210.865,9.2163,2.0127
202.255,8.7627,1.8777
193.64999999999998,8.2007,1.7463
185.04500000000002,7.6388,1.6148
176.435,7.4295,1.4916
167.83,7.3474,1.3716
159.225,7.2652,1.2515
150.615,7.3847,1.3032
142.01,7.6554,1.4836
133.405,7.926,1.664
124.79499999999999,7.8405,1.6347
116.19,7.3508,1.3673
107.585,6.8611,1.0999
98.97500000000001,6.4763,0.91315
90.37,6.2745,0.86702
81.765,6.0727,0.8209
73.155,5.8708,0.77475
64.55,5.9254,0.78228
55.94499999999999,6.0096,0.79598
47.335,6.0937,0.80968
38.730000000000004,6.1778,0.82337
30.125,6.262,0.83706
21.515,6.3461,0.85076
12.91,6.4302,0.86446
4.305,6.5144,0.87815
637.23,6.6063,2.2296
617.6250000000001,6.6928,2.2221
598.015,6.7792,2.2146
578.4050000000001,6.8657,2.2071
558.8,6.9521,2.1996
539.195,7.0385,2.1921
519.5849999999999,7.125,2.1846
499.97999999999996,7.2114,2.1771
480.375,7.2978,2.1696
460.765,7.3842,2.1621
441.15999999999997,7.4707,2.1546
421.555,7.5571,2.1471
401.945,7.6435,2.1396
382.335,7.73,2.1321
362.73,7.8164,2.1246
343.125,7.9028,2.1171
323.515,7.9893,2.1096
303.91,8.0757,2.1021
284.305,8.3054,2.1965
264.695,8.5912,2.3307
245.085,8.8769,2.465
225.48000000000002,9.1626,2.5992
205.875,9.4484,2.7335
186.26500000000001,9.7342,2.8677
166.66,10.02,3.0019
147.05499999999998,10.306,3.1362
127.44500000000001,10.591,3.2704
107.83999999999999,10.877,3.4047
88.23500000000001,11.163,3.5389
68.62499999999999,11.449,3.6732
49.015,11.734,3.8074
29.41,12.02,3.9417
9.805,12.306,4.0759
248.20999999999998,7.5053,0.42714
243.095,7.4575,0.43884
237.98,7.4096,0.45054
232.86,7.3617,0.46225
227.74,7.3268,0.46936
222.625,7.3173,0.46746
217.51,7.3078,0.46557
212.39,7.2984,0.46367
207.27,7.2889,0.46177
202.15,7.2748,0.45945
197.035,7.1971,0.45128
191.92,7.1195,0.4431
186.79999999999998,7.0418,0.43492
181.68,6.964,0.42674
176.56,6.8853,0.41768
171.44500000000002,6.8023,0.40457
166.33,6.7192,0.39145
161.21,6.6361,0.37833
156.09,6.5529,0.3652
150.975,6.4754,0.35424
145.85999999999999,6.4015,0.34471
140.74,6.3275,0.33516
135.62,6.2535,0.32561
130.5,6.1945,0.31897
125.38499999999999,6.1571,0.31647
120.26999999999998,6.1196,0.31397
115.15,6.0821,0.31147
110.02999999999999,5.9996,0.30461
104.915,5.8527,0.29149
99.8,5.7058,0.27838
94.67999999999999,5.5588,0.26525
89.56,5.5118,0.26
84.43999999999998,5.5315,0.26
79.325,5.5512,0.26
74.21,5.5672,0.25974
69.09000000000002,5.5036,0.25368
63.97,5.44,0.24762
58.855000000000004,5.3765,0.24157
53.74,5.258,0.23028
48.62,5.1201,0.21716
43.5,4.9823,0.20403
38.379999999999995,4.7383,0.18813
33.265,4.4475,0.17103
28.150000000000002,4.1567,0.15392
23.03,3.8792,0.13625
17.91,3.6058,0.11842
12.795000000000002,3.3326,0.1006
7.6800000000000015,3.17,0.09
2.56,3.17,0.09
489.99,3.7288,0.34782
484.205,3.8308,0.37294
475.63500000000005,3.9818,0.41015
467.065,4.1328,0.44736
458.495,4.2839,0.48457
449.925,4.4349,0.52178
441.355,4.5859,0.559
432.78499999999997,4.737,0.59621
424.21500000000003,4.888,0.63342
415.64500000000004,5.039,0.67063
407.075,5.19,0.70784
398.505,5.3411,0.74505
389.93500000000006,5.4921,0.78226
381.365,5.6431,0.81947
372.79499999999996,5.7942,0.85668
364.225,5.9452,0.89389
355.655,5.9989,0.88687
347.085,6.0335,0.87116
338.515,6.068,0.85545
329.94500000000005,6.1026,0.83974
321.37499999999994,6.1371,0.82403
312.805,6.1717,0.80832
304.235,6.1273,0.7906
295.66499999999996,5.994,0.7706
287.09499999999997,5.8606,0.7506
278.52500000000003,5.7273,0.7306
269.955,5.594,0.7106
261.385,5.4607,0.6906
252.815,5.4807,0.69784
244.24499999999998,5.6738,0.73579
235.675,5.8668,0.77373
227.105,6.0598,0.81168
218.53499999999997,6.2529,0.84963
209.965,6.4459,0.88758
201.39499999999998,6.5185,0.90381
192.82500000000002,6.4172,0.88868
184.255,6.3158,0.87355
175.68499999999997,6.2144,0.85842
167.115,6.113,0.84329
158.545,6.0117,0.82816
149.975,5.9103,0.81303
141.405,5.8693,0.79388
132.83499999999998,5.8434,0.77371
124.265,5.8174,0.75355
115.695,5.7915,0.73339
107.125,5.7656,0.71323
98.555,5.7397,0.69307
89.98500000000001,5.7138,0.67291
81.415,5.6878,0.65275
72.845,5.6619,0.63259
64.275,5.636,0.61243
55.705000000000005,5.62,0.6
47.135,5.62,0.6
38.565000000000005,5.62,0.6
29.995,5.62,0.6
21.425,5.62,0.6
12.854999999999999,5.62,0.6
4.285,5.62,0.6
135.62,4.5501,0.18325
130.5,4.5166,0.18144
125.38499999999999,4.4831,0.17963
120.26999999999998,4.4497,0.17782
115.15,4.4162,0.17601
110.02999999999999,4.3827,0.1742
104.915,4.3492,0.17239
99.8,4.3157,0.17058
94.67999999999999,4.2823,0.16877
89.56,4.2488,0.16696
84.43999999999998,4.2153,0.16515
79.325,4.1818,0.16334
74.21,4.1483,0.16153
69.09000000000002,4.0938,0.15858
63.97,3.924,0.14941
58.855000000000004,3.7544,0.14024
53.74,3.5848,0.13107
48.62,3.4151,0.1219
43.5,3.2453,0.11272
38.379999999999995,3.0755,0.10354
33.265,2.9211,0.096189
28.150000000000002,2.7761,0.089977
23.03,2.631,0.083759
17.91,2.4859,0.077541
12.795000000000002,2.341,0.071329
7.6800000000000015,2.31,0.07
2.56,2.31,0.07
1081.1000000000001,4.7957,0.25217
1062.95,4.8721,0.31497
1044.8,4.9484,0.37777
1026.6000000000001,5.0248,0.44056
1008.4300000000002,5.1011,0.50336
990.275,5.1775,0.56615
972.105,5.2538,0.62895
953.935,5.3302,0.69174
935.765,5.4065,0.75454
917.5899999999999,5.4829,0.81735
899.415,5.5593,0.88017
881.245,5.6357,0.94296
863.075,5.712,1.0058
844.905,5.7884,1.0686
826.735,5.8647,1.1314
808.5649999999999,5.9411,1.1942
790.395,6.0174,1.2569
772.2249999999999,6.0938,1.3197
754.0550000000001,6.1701,1.3825
735.885,6.2465,1.4453
717.715,6.3228,1.5081
699.545,6.3992,1.5709
681.3750000000001,6.4756,1.6337
663.205,6.5519,1.6965
645.0350000000001,6.6282,1.7593
626.865,6.7046,1.8221
608.6949999999999,6.781,1.8849
590.525,6.8573,1.9477
572.3549999999999,6.9337,2.0105
554.1850000000001,7.01,2.0733
536.015,7.0864,2.1361
517.845,7.1627,2.1989
499.67499999999995,7.2391,2.2617
481.505,7.3131,2.3171
463.335,7.357,2.2771
445.165,7.4008,2.2371
426.995,7.4446,2.1971
408.825,7.4885,2.1571
390.655,7.5323,2.117
372.485,7.5761,2.077
354.315,7.6199,2.037
336.14500000000004,7.6638,1.997
317.975,7.7076,1.957
299.805,7.7514,1.917
281.635,7.6778,1.8531
263.46500000000003,7.5177,1.7716
245.295,7.3577,1.6901
227.12500000000003,7.1976,1.6087
208.955,7.0376,1.5272
190.78499999999997,6.8775,1.4457
172.615,6.7175,1.3643
154.445,6.5574,1.2828
136.27499999999998,6.3974,1.2014
118.105,6.2374,1.1199
99.935,6.1,1.05
81.765,6.1,1.05
63.595,6.1,1.05
45.425,6.1,1.05
27.255,6.1,1.05
9.084999999999999,6.1,1.05
413.605,1.3911,0.10281
409.275,1.3981,0.1039
404.945,1.405,0.105
400.61500000000007,1.412,0.1061
396.28000000000003,1.4189,0.1072
391.945,1.4259,0.1083
387.61500000000007,1.4329,0.1094
383.28499999999997,1.4398,0.1105
378.95500000000004,1.4468,0.1116
374.625,1.4538,0.1127
370.295,1.4607,0.1138
365.965,1.4677,0.1149
361.63500000000005,1.4746,0.116
357.305,1.4816,0.1171
352.975,1.4886,0.1182
348.64,1.4955,0.1193
344.30499999999995,1.5025,0.1204
339.975,1.5095,0.12149
335.645,1.5164,0.12259
331.31500000000005,1.5234,0.12369
326.98499999999996,1.5303,0.12479
322.65500000000003,1.5373,0.12589
318.325,1.5443,0.12699
313.995,1.5512,0.12809
309.66499999999996,1.5582,0.12919
305.33500000000004,1.5652,0.13029
301.0,1.5721,0.13139
296.66499999999996,1.5791,0.13249
292.33500000000004,1.586,0.13359
288.00499999999994,1.593,0.13469
283.675,1.6,0.13578
279.34499999999997,1.6069,0.13688
275.015,1.6139,0.13798
270.68499999999995,1.6208,0.13908
266.355,1.6278,0.14018
262.025,1.6348,0.14128
257.695,1.6417,0.14238
253.36000000000004,1.6487,0.14348
249.025,1.6557,0.14458
244.695,1.6626,0.14568
240.365,1.6696,0.14678
236.035,1.6766,0.14788
231.70499999999998,1.6835,0.14898
227.375,1.6921,0.15018
223.045,1.7218,0.15274
218.715,1.7515,0.15531
214.385,1.7813,0.15787
210.05,1.8111,0.16044
205.715,1.8409,0.16301
201.38500000000002,1.8706,0.16557
197.055,1.9004,0.16813
192.725,1.9301,0.1707
188.395,1.9598,0.17326
184.065,1.9896,0.17583
179.735,2.0194,0.17839
175.405,2.0491,0.18096
171.07500000000002,2.0789,0.18352
166.745,2.1086,0.18609
162.41,2.1384,0.18865
158.075,2.1682,0.19122
153.745,2.1979,0.19378
149.415,2.2277,0.19635
145.08499999999998,2.2574,0.19891
140.755,2.2798,0.19972
136.42499999999998,2.2967,0.19924
132.095,2.3137,0.19875
127.76499999999999,2.3306,0.19827
123.43499999999999,2.3476,0.19778
119.105,2.3645,0.1973
114.77000000000001,2.3815,0.19682
110.435,2.3984,0.19633
106.105,2.4154,0.19585
101.775,2.4323,0.19536
97.44500000000001,2.4493,0.19488
93.11500000000001,2.4662,0.19439
88.785,2.4832,0.19391
84.455,2.5001,0.19343
80.125,2.5171,0.19294
75.795,2.534,0.19246
71.46,2.551,0.19197
67.125,2.5679,0.19149
62.795,2.5849,0.191
58.465,2.6018,0.19052
54.135000000000005,2.6188,0.19004
49.805,2.6357,0.18955
45.475,2.6526,0.18907
41.145,2.6696,0.18858
36.815,2.6865,0.1881
32.485,2.7035,0.18762
28.155,2.7204,0.18713
23.82,2.7374,0.18665
19.485,2.7544,0.18616
15.154999999999998,2.7713,0.18568
10.825,2.7883,0.18519
6.494999999999999,2.8052,0.18471
2.165,2.8222,0.18422
189.47,4.0855,0.54824
184.795,4.11,0.54334
180.12,4.1464,0.53524
175.44,4.1829,0.52712
170.76,4.2194,0.51901
166.08,4.2559,0.5109
161.39999999999998,4.1614,0.50014
156.725,4.0505,0.48905
152.05,3.9397,0.47797
147.37,3.8287,0.46687
142.69,3.8173,0.46434
138.01000000000002,3.9679,0.47575
133.33,4.1184,0.48715
128.655,4.2688,0.49855
123.97999999999999,4.4192,0.50994
119.29999999999998,4.4269,0.5192
114.62,4.4338,0.52846
109.94000000000001,4.4408,0.53771
105.25999999999999,4.4477,0.54696
100.58500000000001,4.4396,0.53512
95.91,4.4241,0.51295
91.23,4.4085,0.49075
86.54999999999998,4.393,0.46856
81.87,4.3754,0.44867
77.19000000000001,4.347,0.44056
72.515,4.3186,0.43246
67.84000000000002,4.2903,0.42436
63.16,4.2619,0.41625
58.480000000000004,4.263,0.41513
53.8,4.3628,0.43747
49.12,4.4627,0.45981
44.445,4.5624,0.48212
39.77,4.6622,0.50443
35.089999999999996,4.762,0.52677
30.41,4.8619,0.5491
25.730000000000004,4.9617,0.57144
21.05,5.0616,0.59377
16.375,5.1613,0.61609
11.700000000000001,5.2611,0.6384
7.0200000000000005,5.3609,0.66074
2.34,5.4608,0.68307
584.1350000000001,7.0612,1.2134
568.13,7.1316,1.2239
552.13,7.2019,1.2343
536.125,7.2723,1.2448
520.12,7.3427,1.2553
504.11499999999995,7.4131,1.2658
488.11,7.4835,1.2763
472.11,7.5538,1.2867
456.10499999999996,7.6242,1.2972
440.09999999999997,7.6946,1.3077
424.1,7.7094,1.3055
408.09499999999997,7.7085,1.2998
392.09,7.7077,1.2941
376.085,7.7069,1.2883
360.08,7.7061,1.2826
344.08,7.7053,1.2769
328.075,7.7044,1.2711
312.07,7.7036,1.2654
296.07,7.7028,1.2597
280.065,7.702,1.254
264.06,7.7012,1.2482
248.06,7.7004,1.2425
232.055,7.6828,1.2234
216.05,7.6525,1.194
200.045,7.6221,1.1647
184.04,7.5917,1.1353
168.04,7.5613,1.1059
152.03499999999997,7.5309,1.0766
136.02999999999997,7.5006,1.0472
120.03,7.4702,1.0178
104.025,7.4398,0.98846
88.01999999999998,7.4094,0.95909
72.015,7.4,0.95
56.01,7.4,0.95
40.01,7.4,0.95
24.005,7.4,0.95
8.0,7.4,0.95
698.095,4.0682,0.72024
681.665,4.0542,0.71536
665.24,4.0401,0.71048
648.8149999999999,4.0261,0.7056
632.39,4.0121,0.70072
615.965,3.998,0.69584
599.54,3.984,0.69096
583.115,3.97,0.68608
566.685,3.9559,0.6812
550.26,3.9419,0.67632
533.835,3.9279,0.67144
517.41,3.9139,0.66656
500.985,3.8998,0.66168
484.56,3.8858,0.6568
468.135,3.8718,0.65192
451.70500000000004,3.8577,0.64703
435.28,3.8437,0.64215
418.85499999999996,3.8297,0.63727
402.43,3.8156,0.63239
386.00500000000005,3.8016,0.62751
369.58000000000004,3.7876,0.62263
353.155,3.8069,0.61736
336.7250000000001,3.8653,0.61164
320.3,3.9237,0.60591
303.875,3.9821,0.60019
287.45,4.0405,0.59446
271.025,4.0989,0.58874
254.6,4.1573,0.58301
238.175,4.2157,0.57729
221.745,4.2741,0.57156
205.32,4.2823,0.56149
188.895,4.2718,0.54978
172.47,4.2613,0.53808
156.045,4.2507,0.52638
139.62,4.2402,0.51467
123.195,4.2297,0.50297
106.765,4.2191,0.49126
90.34,4.2086,0.47956
73.91499999999999,4.2,0.47
57.49,4.2,0.47
41.065,4.2,0.47
24.639999999999997,4.2,0.47
8.215,4.2,0.47
762.255,3.8922,1.1121
745.505,3.9764,1.1216
728.75,4.0607,1.1311
711.9949999999999,4.145,1.1406
695.245,4.2293,1.1501
678.49,4.3136,1.1597
661.735,4.3979,1.1692
644.985,4.4821,1.1787
628.235,4.5664,1.1882
611.48,4.6507,1.1977
594.7249999999999,4.735,1.2072
577.975,4.8193,1.2167
561.22,4.9035,1.2262
544.465,4.9878,1.2357
527.7149999999999,5.0721,1.2452
510.965,5.1564,1.2547
494.21,5.2406,1.2642
477.455,5.3249,1.2737
460.70500000000004,5.4092,1.2832
443.95,5.4935,1.2927
427.195,5.5778,1.3022
410.445,5.6621,1.3117
393.695,5.7463,1.3212
376.94,5.8306,1.3308
360.185,5.9149,1.3402
343.43500000000006,5.9992,1.3498
326.68,6.0835,1.3593
309.925,6.0092,1.3015
293.17499999999995,5.9217,1.2382
276.425,5.8341,1.1748
259.67,5.7465,1.1115
242.915,5.659,1.0481
226.165,5.5714,0.98471
209.41,5.4839,0.92134
192.655,5.3963,0.85796
175.905,5.3359,0.80758
159.155,5.36,0.79764
142.4,5.3842,0.7877
125.64500000000001,5.4083,0.77776
108.895,5.4325,0.76781
92.14,5.4566,0.75787
75.385,5.4808,0.74793
58.635,5.5049,0.73799
41.885,5.529,0.72805
25.13,5.5532,0.7181
8.375,5.5773,0.70816
81.32000000000001,2.5597,0.11246
79.675,2.5198,0.10748
78.03,2.48,0.1025
76.39,2.4452,0.097538
74.75,2.4154,0.092575
73.105,2.4547,0.10094
71.46,2.568,0.1236
69.82,2.4907,0.11381
68.18,2.3382,0.09122
66.53500000000001,2.38,0.1011
64.89,2.4241,0.10863
63.25,2.4411,0.10298
61.605,2.4524,0.1
59.96,2.4573,0.1
58.32,2.4627,0.10271
56.68,2.4686,0.10856
55.035000000000004,2.47,0.10146
53.39,2.47,0.090126
51.75000000000001,2.47,0.095584
50.105,2.4506,0.097413
48.46,2.3626,0.085678
46.82,2.3476,0.081453
45.18,2.4013,0.084277
43.535,2.4551,0.087109
41.88999999999999,2.5089,0.089942
40.25,2.4737,0.09
38.605000000000004,2.4365,0.09
36.96,2.3993,0.09
35.32000000000001,2.4112,0.085767
33.68,2.4394,0.08012
32.035000000000004,2.3826,0.085743
30.39,2.3454,0.088197
28.749999999999996,2.3651,0.081646
27.105,2.336,0.075754
25.46,2.2907,0.070089
23.82,2.3706,0.22544
22.18,2.4462,0.41376
20.534999999999997,2.5053,0.68318
18.889999999999997,2.431,0.64623
17.25,2.3182,0.5089
15.61,2.2227,0.37242
13.965,2.185,0.25976
12.32,2.1732,0.18317
10.68,2.1863,0.19628
9.035000000000002,2.0625,0.17548
7.390000000000001,1.881,0.136
5.75,1.6899,0.081409
4.11,1.6068,0.066074
2.4650000000000003,1.5521,0.061096
0.82,1.54,0.06
587.5200000000001,7.0935,2.6532
569.4399999999999,7.1721,2.6946
551.3600000000001,7.2508,2.7361
533.285,7.3294,2.7775
515.2099999999999,7.4081,2.819
