R_kpc,g_phi_R,g_N_R,g_tot_R
222.04724409448818,2009.811313418043,202.693830720637,2212.50514413868
226.77165354330708,2012.0854688312452,194.3362291935274,2206.4216980247725
231.49606299212596,2018.1654423227617,186.48507790999054,2204.650520232752
236.22047244094486,2030.3419082665423,179.1002688247549,2209.4421770912973
240.94488188976376,2037.7976950222292,172.1455871056852,2209.9432821279142
245.66929133858267,2046.9914005356604,165.5882662950766,2212.579666830737
250.39370078740154,2043.9686730906308,159.39860165962523,2203.367274750256
255.11811023622045,2046.3971400469434,153.5496131899476,2199.946753236891
259.84251968503935,2055.6491831927387,148.01675109483875,2203.6659342875773
264.56692913385825,2059.2804800110825,142.77763777483648,2202.058117785919
269.29133858267716,2069.048917867089,137.8118412009502,2206.8607590680394
274.01574803149606,2073.429522927686,133.1006754048416,2206.5301983325276
278.74015748031496,2077.558111793983,128.62702443604917,2206.185136230032
283.4645669291338,2080.261321200828,124.37518668385758,2204.6365078846857
288.1889763779527,2091.36180533214,120.33073691531506,2211.692542247455
292.9133858267716,2093.206523197307,116.48040376219751,2209.6869269595045
297.6377952755905,2095.6707416547924,112.81196071098192,2208.4827023657745
302.3622047244094,2102.4374083710045,109.31412892135918,2211.7515372923635
307.0866141732283,2106.434865037758,105.97649042884905,2212.411355466607
311.81102362204723,2113.1540658477397,102.7894104825269,2215.9434763302665
316.53543307086613,2119.730592266032,99.74396793537251,2219.4745602014045
321.25984251968504,2122.715508605012,96.83189274694791,2219.5474013519597
325.9842519685039,2130.477265905049,94.04550977985451,2224.5227756849035
330.7086614173228,2131.497779133462,91.37768817589536,2222.875467309357
335.4330708661417,2136.929505715617,88.821795687738,2225.751301403355
340.1574803149606,2142.332388554967,86.37165741934554,2228.7040459743125
344.8818897637795,2147.2806141411124,84.02151849538136,2231.3021326364938
349.6062992125984,2156.05745978991,81.7660102377442,2237.823470027654
354.3307086614173,2157.9698217596547,79.60011947766883,2237.5699412373233
359.0551181102362,2163.271865223989,77.5191606755345,2240.7910258995234
363.7795275590551,2166.526362148735,75.5187505585912,2242.0451127073266
368.50393700787396,2170.60008354554,73.59478502003407,2244.1948685655743
373.22834645669286,2177.8486182668485,71.7434180518967,2249.592036318745
377.95275590551176,2180.779602103409,69.96104250966988,2250.740644613079
382.67716535433067,2189.1189948397346,68.24427252886561,2257.3632673686
387.4015748031496,2191.5856818563097,66.58992743335622,2258.1756092896658
392.1259842519685,2197.4858421984068,64.99501699258052,2262.4808591909873
396.8503937007874,2201.6520515602706,63.45672789992732,2265.108779460198
401.5748031496063,2206.235859939583,61.972411358046664,2268.20827129763
406.2992125984252,2211.9729956870774,60.5395716687246,2272.512567355802
411.02362204724403,2216.0098336349424,59.155855735485176,2275.1656893704276
415.74803149606294,2221.9213976851365,57.81904339642139,2279.740441081558
420.47244094488184,2227.3984672627225,56.527038513052304,2283.925505775775
425.19685039370074,2229.6629162594636,55.27786074838114,2284.9407770078446
429.92125984251965,2236.0411517801617,54.06963797390257,2290.110789754064
434.64566929133855,2241.3635533903507,52.900599251168146,2294.2641526415186
439.37007874015745,2246.312321711795,51.769068338754444,2298.0813900505495
444.09448818897636,2250.2960430029,50.67345768015925,2300.9695006830593
448.81889763779526,2254.593367774699,49.61226283234207,2304.205630607041
453.54330708661416,2259.260912136018,48.58405729838185,2307.8449694344
458.267716535433,2264.991417030465,47.58748773109653,2312.5789047615617
462.9921259842519,2271.003960627816,46.621269477497634,2317.6252301053137
467.7165354330708,2276.0199436100797,45.68418243667863,2321.7041260467586
472.4409448818897,2278.124226091042,44.77506720618872,2322.899293297231
477.1653543307086,2283.3137107045004,43.89282149415618,2327.2065321986565
481.8897637795275,2288.3399989157365,43.0363967764213,2331.376395692158
486.61417322834643,2292.4301738752947,42.204795179742405,2334.634969055037
491.33858267716533,2296.277512791744,41.39706657376915,2337.674579365513
496.06299212598424,2301.777775469879,40.61230585595348,2342.3900813258324
500.7874015748031,2307.2433422208146,39.84965041490631,2347.0929926357207
505.511811023622,2312.213513201492,39.10827775892106,2351.3217909604127
510.2362204724409,2315.9743946096205,38.3874032974869,2354.3617979071073
514.9606299212599,2321.2902760052657,37.68627826461469,2358.9765542698806
519.6850393700787,2324.2413304417973,37.00418777370969,2361.245518215507
524.4094488188975,2327.1131140928,36.340448994552986,2363.453563087353
529.1338582677165,2331.457185865497,35.69440944370912,2367.151595309206
533.8582677165354,2337.1974306134603,35.06544538036552,2372.2628759938257
538.5826771653543,2343.231909832751,34.45296030023755,2377.6848701329886
543.3070866141732,2348.5857273502565,33.85638352074762,2382.4421108710044
548.0314960629921,2352.1025703478986,33.2751688512104,2385.377739199109
552.755905511811,2352.1402169763883,32.708793342237364,2384.8490103186255
557.4803149606299,2350.8954899747337,32.15675610901229,2383.052246083746
562.2047244094488,2341.73149402812,31.618577223493205,2373.350071251613
566.9291338582676,2333.484907105189,31.093796670964394,2364.5787037761534
571.6535433070866,2302.828971375317,30.581973366702222,2333.410944742019
576.3779527559054,2278.1405174940605,30.082684228828764,2308.2232017228894
581.1023622047244,2235.739845431994,29.595523303713875,2265.335368735708
585.8267716535432,2189.2368583499033,29.120100940549378,2218.356959290453
590.5511811023622,2101.0139764779874,28.656043011960776,2129.670019489948
595.275590551181,2037.5931904221347,28.20299017774548,2065.7961805998802
600.0,1944.669040758165,27.76059718903138,1972.4296379471964
